HR,day,time
59.0,2,01:12:42
59.0,2,01:12:43
57.0,2,01:12:44
56.0,2,01:12:45
56.0,2,01:12:46
55.0,2,01:12:47
55.0,2,01:12:48
55.0,2,01:12:49
54.0,2,01:12:50
54.0,2,01:12:51
54.0,2,01:12:52
54.0,2,01:12:53
53.0,2,01:12:54
53.0,2,01:12:55
53.0,2,01:12:56
54.0,2,01:12:57
53.0,2,01:12:58
53.0,2,01:12:59
53.0,2,01:13:00
53.0,2,01:13:01
53.0,2,01:13:02
54.0,2,01:13:27
54.0,2,01:13:28
54.0,2,01:13:29
54.0,2,01:13:30
54.0,2,01:13:31
53.0,2,01:13:32
53.0,2,01:13:33
54.0,2,01:13:34
54.0,2,01:13:35
54.0,2,01:13:36
54.0,2,01:13:37
53.0,2,01:13:38
54.0,2,01:13:39
54.0,2,01:13:40
54.0,2,01:13:41
54.0,2,01:13:42
54.0,2,01:13:43
54.0,2,01:13:44
54.0,2,01:13:45
54.0,2,01:13:46
54.0,2,01:13:47
54.0,2,01:14:04
54.0,2,01:14:05
54.0,2,01:14:06
54.0,2,01:14:07
54.0,2,01:14:08
54.0,2,01:14:09
54.0,2,01:14:10
54.0,2,01:14:11
54.0,2,01:14:12
54.0,2,01:14:13
54.0,2,01:14:14
54.0,2,01:14:15
54.0,2,01:14:16
54.0,2,01:14:17
54.0,2,01:14:18
54.0,2,01:14:19
54.0,2,01:14:20
54.0,2,01:14:21
56.0,2,01:14:45
55.0,2,01:14:46
55.0,2,01:14:47
55.0,2,01:14:48
55.0,2,01:14:49
55.0,2,01:14:50
55.0,2,01:14:51
55.0,2,01:14:52
55.0,2,01:14:53
55.0,2,01:14:54
55.0,2,01:14:55
54.0,2,01:14:56
55.0,2,01:14:57
55.0,2,01:14:58
54.0,2,01:14:59
54.0,2,01:15:00
54.0,2,01:15:01
54.0,2,01:15:02
54.0,2,01:15:45
54.0,2,01:15:46
54.0,2,01:15:47
54.0,2,01:15:48
54.0,2,01:15:49
54.0,2,01:15:50
54.0,2,01:15:51
54.0,2,01:15:52
54.0,2,01:15:53
55.0,2,01:15:54
54.0,2,01:15:55
54.0,2,01:15:56
55.0,2,01:15:57
55.0,2,01:15:58
55.0,2,01:15:59
55.0,2,01:16:00
55.0,2,01:16:01
55.0,2,01:16:02
55.0,2,01:16:03
54.0,2,01:16:36
54.0,2,01:16:37
54.0,2,01:16:38
54.0,2,01:16:39
54.0,2,01:16:40
54.0,2,01:16:41
54.0,2,01:16:42
54.0,2,01:16:43
54.0,2,01:16:44
54.0,2,01:16:45
54.0,2,01:16:46
54.0,2,01:16:47
54.0,2,01:16:48
53.0,2,01:16:49
53.0,2,01:16:50
53.0,2,01:16:51
53.0,2,01:16:52
53.0,2,01:16:53
53.0,2,01:16:54
53.0,2,01:16:55
53.0,2,01:16:56
54.0,2,01:17:36
54.0,2,01:17:37
54.0,2,01:17:38
53.0,2,01:17:39
54.0,2,01:17:40
54.0,2,01:17:41
54.0,2,01:17:42
54.0,2,01:17:43
57.0,2,01:24:27
57.0,2,01:24:28
57.0,2,01:24:29
56.0,2,01:24:30
56.0,2,01:24:31
55.0,2,01:24:32
54.0,2,01:24:33
54.0,2,01:24:34
54.0,2,01:24:35
54.0,2,01:24:36
53.0,2,01:24:37
53.0,2,01:24:38
53.0,2,01:24:39
53.0,2,01:24:40
53.0,2,01:24:41
52.0,2,01:24:42
52.0,2,01:24:43
52.0,2,01:24:44
52.0,2,01:24:45
52.0,2,01:24:46
52.0,2,01:24:47
52.0,2,01:24:48
52.0,2,01:24:49
52.0,2,01:24:50
63.0,2,01:24:58
64.0,2,01:24:59
67.0,2,01:25:00
68.0,2,01:25:01
69.0,2,01:25:02
72.0,2,01:25:03
72.0,2,01:25:04
72.0,2,01:25:05
76.0,2,01:25:20
75.0,2,01:25:21
73.0,2,01:25:22
73.0,2,01:25:23
73.0,2,01:25:24
69.0,2,01:33:35
70.0,2,01:33:36
71.0,2,01:33:37
72.0,2,01:33:38
73.0,2,01:33:39
73.0,2,01:33:40
73.0,2,01:33:41
72.0,2,01:33:42
71.0,2,01:33:43
69.0,2,01:33:44
68.0,2,01:33:45
67.0,2,01:33:46
66.0,2,01:33:47
64.0,2,01:33:48
63.0,2,01:33:49
61.0,2,01:33:50
60.0,2,01:33:51
60.0,2,01:33:52
59.0,2,01:33:53
58.0,2,01:33:54
58.0,2,01:33:55
56.0,2,01:33:56
56.0,2,01:33:57
