HR,day,time
54.0,2,00:50:02
54.0,2,00:50:03
54.0,2,00:50:04
54.0,2,00:50:05
54.0,2,00:50:06
54.0,2,00:50:07
54.0,2,00:50:08
54.0,2,00:50:09
54.0,2,00:50:10
54.0,2,00:50:11
54.0,2,00:50:12
54.0,2,00:50:13
54.0,2,00:50:14
54.0,2,00:50:15
54.0,2,00:50:16
54.0,2,00:50:17
53.0,2,00:50:18
53.0,2,00:50:19
53.0,2,00:50:20
53.0,2,00:50:21
53.0,2,00:50:22
51.0,2,00:51:04
51.0,2,00:51:05
51.0,2,00:51:06
51.0,2,00:51:07
51.0,2,00:51:08
51.0,2,00:51:09
51.0,2,00:51:10
51.0,2,00:51:11
50.0,2,00:51:12
50.0,2,00:51:13
50.0,2,00:51:14
50.0,2,00:51:15
50.0,2,00:51:16
50.0,2,00:51:17
50.0,2,00:51:18
50.0,2,00:51:19
50.0,2,00:51:55
50.0,2,00:51:56
50.0,2,00:51:57
50.0,2,00:51:58
50.0,2,00:51:59
50.0,2,00:52:00
50.0,2,00:52:01
50.0,2,00:52:02
50.0,2,00:52:03
50.0,2,00:52:04
50.0,2,00:52:05
50.0,2,00:52:06
50.0,2,00:52:07
50.0,2,00:52:08
50.0,2,00:52:09
50.0,2,00:52:10
50.0,2,00:52:11
50.0,2,00:52:12
50.0,2,00:52:13
50.0,2,00:52:14
50.0,2,00:52:15
50.0,2,00:52:16
50.0,2,00:52:17
50.0,2,00:52:37
50.0,2,00:52:38
50.0,2,00:52:39
50.0,2,00:52:40
49.0,2,00:52:41
49.0,2,00:52:42
49.0,2,00:52:43
49.0,2,00:52:44
49.0,2,00:52:45
49.0,2,00:52:46
49.0,2,00:52:47
49.0,2,00:52:48
49.0,2,00:52:49
49.0,2,00:52:50
49.0,2,00:52:51
49.0,2,00:52:52
49.0,2,00:52:53
49.0,2,00:52:54
49.0,2,00:52:55
49.0,2,00:52:56
49.0,2,00:52:57
49.0,2,00:52:58
49.0,2,00:52:59
49.0,2,00:53:00
50.0,2,00:53:10
50.0,2,00:53:11
50.0,2,00:53:12
50.0,2,00:53:13
50.0,2,00:53:14
51.0,2,00:53:15
51.0,2,00:53:16
51.0,2,00:53:17
51.0,2,00:53:18
51.0,2,00:53:19
51.0,2,00:53:20
51.0,2,00:53:21
51.0,2,00:53:22
51.0,2,00:53:23
51.0,2,00:53:24
51.0,2,00:53:25
51.0,2,00:53:26
