HR,day,time
86.0,2,01:15:00
87.0,2,01:15:01
87.0,2,01:15:02
89.0,2,01:15:03
89.0,2,01:15:04
90.0,2,01:15:05
91.0,2,01:15:06
91.0,2,01:15:07
91.0,2,01:15:08
91.0,2,01:15:09
90.0,2,01:15:10
88.0,2,01:15:11
86.0,2,01:15:12
84.0,2,01:15:13
69.0,2,01:15:20
68.0,2,01:15:21
68.0,2,01:15:22
68.0,2,01:15:23
69.0,2,01:15:24
69.0,2,01:15:25
66.0,2,01:15:26
64.0,2,01:15:27
63.0,2,01:15:28
63.0,2,01:15:29
62.0,2,01:15:30
61.0,2,01:15:31
61.0,2,01:15:32
60.0,2,01:15:33
60.0,2,01:15:34
59.0,2,01:15:35
59.0,2,01:15:36
58.0,2,01:15:37
58.0,2,01:15:38
58.0,2,01:15:39
59.0,2,01:15:40
59.0,2,01:15:41
59.0,2,01:15:42
59.0,2,01:15:43
59.0,2,01:15:44
59.0,2,01:15:45
58.0,2,01:15:46
59.0,2,01:15:53
59.0,2,01:15:54
59.0,2,01:15:55
60.0,2,01:15:56
61.0,2,01:15:57
62.0,2,01:15:58
63.0,2,01:15:59
62.0,2,01:16:00
61.0,2,01:16:01
61.0,2,01:16:02
61.0,2,01:16:03
61.0,2,01:16:04
61.0,2,01:16:05
62.0,2,01:16:06
61.0,2,01:16:07
61.0,2,01:16:08
61.0,2,01:16:09
62.0,2,01:16:10
61.0,2,01:16:11
60.0,2,01:16:12
60.0,2,01:16:13
60.0,2,01:16:14
60.0,2,01:16:15
60.0,2,01:16:16
60.0,2,01:16:17
60.0,2,01:16:18
62.0,2,01:16:19
63.0,2,01:16:26
64.0,2,01:16:27
64.0,2,01:16:28
65.0,2,01:16:29
65.0,2,01:16:30
64.0,2,01:16:31
63.0,2,01:16:32
63.0,2,01:16:33
63.0,2,01:16:34
63.0,2,01:16:35
63.0,2,01:16:36
64.0,2,01:16:37
63.0,2,01:16:38
63.0,2,01:16:39
63.0,2,01:16:40
63.0,2,01:16:41
63.0,2,01:16:42
64.0,2,01:16:43
64.0,2,01:16:44
63.0,2,01:16:45
63.0,2,01:16:46
63.0,2,01:16:47
62.0,2,01:16:48
62.0,2,01:16:49
62.0,2,01:16:50
63.0,2,01:16:51
63.0,2,01:16:52
63.0,2,01:16:59
63.0,2,01:17:00
64.0,2,01:17:01
64.0,2,01:17:02
63.0,2,01:17:03
63.0,2,01:17:04
63.0,2,01:17:05
63.0,2,01:17:06
63.0,2,01:17:07
64.0,2,01:17:08
64.0,2,01:17:09
64.0,2,01:17:10
64.0,2,01:17:11
64.0,2,01:17:12
62.0,2,01:17:13
62.0,2,01:17:14
62.0,2,01:17:15
63.0,2,01:17:16
64.0,2,01:17:17
64.0,2,01:17:18
64.0,2,01:17:19
62.0,2,01:17:20
62.0,2,01:17:21
62.0,2,01:17:22
63.0,2,01:17:23
64.0,2,01:17:24
64.0,2,01:17:25
66.0,2,01:17:32
64.0,2,01:17:33
63.0,2,01:17:34
63.0,2,01:17:35
63.0,2,01:17:36
63.0,2,01:17:37
63.0,2,01:17:38
63.0,2,01:17:39
62.0,2,01:17:40
62.0,2,01:17:41
62.0,2,01:17:42
64.0,2,01:17:43
64.0,2,01:17:44
64.0,2,01:17:45
64.0,2,01:17:46
63.0,2,01:17:47
62.0,2,01:17:48
62.0,2,01:17:49
62.0,2,01:17:50
62.0,2,01:17:51
62.0,2,01:17:52
62.0,2,01:17:53
61.0,2,01:17:54
60.0,2,01:17:55
60.0,2,01:17:56
61.0,2,01:17:57
62.0,2,01:17:58
61.0,2,01:18:05
60.0,2,01:18:06
60.0,2,01:18:07
61.0,2,01:18:08
61.0,2,01:18:09
61.0,2,01:18:10
62.0,2,01:18:11
62.0,2,01:18:12
62.0,2,01:18:13
62.0,2,01:18:14
62.0,2,01:18:15
62.0,2,01:18:16
63.0,2,01:18:17
64.0,2,01:18:18
64.0,2,01:18:19
63.0,2,01:18:20
64.0,2,01:18:21
63.0,2,01:18:22
64.0,2,01:18:23
65.0,2,01:18:24
65.0,2,01:18:25
65.0,2,01:18:26
65.0,2,01:18:27
65.0,2,01:18:28
65.0,2,01:18:29
64.0,2,01:18:30
65.0,2,01:18:31
64.0,2,01:18:38
63.0,2,01:18:39
63.0,2,01:18:40
64.0,2,01:18:41
64.0,2,01:18:42
64.0,2,01:18:43
63.0,2,01:18:44
63.0,2,01:18:45
62.0,2,01:18:46
61.0,2,01:18:47
61.0,2,01:18:48
61.0,2,01:18:49
61.0,2,01:18:50
61.0,2,01:18:51
62.0,2,01:18:52
63.0,2,01:18:53
63.0,2,01:18:54
62.0,2,01:18:55
62.0,2,01:18:56
61.0,2,01:18:57
62.0,2,01:18:58
61.0,2,01:18:59
62.0,2,01:19:00
62.0,2,01:19:01
62.0,2,01:19:02
61.0,2,01:19:03
61.0,2,01:19:04
63.0,2,01:19:11
63.0,2,01:19:12
63.0,2,01:19:13
63.0,2,01:19:14
63.0,2,01:19:15
63.0,2,01:19:16
63.0,2,01:19:17
62.0,2,01:19:18
63.0,2,01:19:19
62.0,2,01:19:20
62.0,2,01:19:21
62.0,2,01:19:22
62.0,2,01:19:23
62.0,2,01:19:24
62.0,2,01:19:25
62.0,2,01:19:26
62.0,2,01:19:27
61.0,2,01:19:28
62.0,2,01:19:29
62.0,2,01:19:30
62.0,2,01:19:31
62.0,2,01:19:32
62.0,2,01:19:33
62.0,2,01:19:34
62.0,2,01:19:35
62.0,2,01:19:36
62.0,2,01:19:37
61.0,2,01:19:44
61.0,2,01:19:45
61.0,2,01:19:46
62.0,2,01:19:47
63.0,2,01:19:48
63.0,2,01:19:49
63.0,2,01:19:50
63.0,2,01:19:51
63.0,2,01:19:52
63.0,2,01:19:53
62.0,2,01:19:54
62.0,2,01:19:55
62.0,2,01:19:56
62.0,2,01:19:57
62.0,2,01:19:58
62.0,2,01:19:59
63.0,2,01:20:00
63.0,2,01:20:01
63.0,2,01:20:02
