HR,day,time
10.0,2,00:34:18
10.0,2,00:34:19
10.0,2,00:34:20
10.0,2,00:34:21
10.0,2,00:34:22
224.0,2,00:34:23
224.0,2,00:34:24
224.0,2,00:34:25
224.0,2,00:34:26
224.0,2,00:34:27
224.0,2,00:34:28
224.0,2,00:34:29
224.0,2,00:34:30
224.0,2,00:34:31
224.0,2,00:34:32
63.0,2,00:34:43
62.0,2,00:34:44
62.0,2,00:34:45
62.0,2,00:34:46
63.0,2,00:34:47
63.0,2,00:34:48
64.0,2,00:34:49
65.0,2,00:34:50
67.0,2,00:34:51
68.0,2,00:34:52
68.0,2,00:34:53
69.0,2,00:34:54
69.0,2,00:34:55
69.0,2,00:34:56
69.0,2,00:34:57
69.0,2,00:34:58
69.0,2,00:34:59
70.0,2,00:35:00
72.0,2,00:35:01
73.0,2,00:35:02
73.0,2,00:35:03
74.0,2,00:35:04
73.0,2,00:35:05
72.0,2,00:35:06
72.0,2,00:35:07
71.0,2,00:35:08
70.0,2,00:35:09
68.0,2,00:35:16
67.0,2,00:35:17
66.0,2,00:35:18
66.0,2,00:35:19
66.0,2,00:35:20
66.0,2,00:35:21
66.0,2,00:35:22
66.0,2,00:35:23
65.0,2,00:35:24
65.0,2,00:35:25
65.0,2,00:35:26
64.0,2,00:35:27
64.0,2,00:35:28
63.0,2,00:35:29
63.0,2,00:35:30
64.0,2,00:35:31
64.0,2,00:35:32
65.0,2,00:35:33
65.0,2,00:35:34
66.0,2,00:35:35
67.0,2,00:35:36
67.0,2,00:35:37
67.0,2,00:35:38
68.0,2,00:35:39
67.0,2,00:35:40
66.0,2,00:35:41
66.0,2,00:35:42
71.0,2,00:35:49
70.0,2,00:35:50
70.0,2,00:35:51
70.0,2,00:35:52
70.0,2,00:35:53
71.0,2,00:35:54
71.0,2,00:35:55
71.0,2,00:35:56
71.0,2,00:35:57
71.0,2,00:35:58
71.0,2,00:35:59
71.0,2,00:36:00
70.0,2,00:36:01
70.0,2,00:36:02
70.0,2,00:36:03
71.0,2,00:36:04
73.0,2,00:36:05
74.0,2,00:36:06
74.0,2,00:36:07
73.0,2,00:36:08
72.0,2,00:36:09
71.0,2,00:36:10
70.0,2,00:36:11
70.0,2,00:36:12
70.0,2,00:36:13
70.0,2,00:36:14
70.0,2,00:36:15
141.0,2,00:36:30
141.0,2,00:36:31
141.0,2,00:36:32
141.0,2,00:36:33
141.0,2,00:36:34
141.0,2,00:36:35
185.0,2,00:36:40
185.0,2,00:36:41
185.0,2,00:36:42
185.0,2,00:36:43
185.0,2,00:36:44
185.0,2,00:36:45
185.0,2,00:36:46
185.0,2,00:36:47
78.0,2,00:36:55
77.0,2,00:36:56
76.0,2,00:36:57
75.0,2,00:36:58
74.0,2,00:36:59
74.0,2,00:37:00
73.0,2,00:37:01
73.0,2,00:37:02
73.0,2,00:37:03
72.0,2,00:37:04
72.0,2,00:37:05
71.0,2,00:37:06
71.0,2,00:37:07
70.0,2,00:37:08
69.0,2,00:37:09
68.0,2,00:37:10
67.0,2,00:37:11
66.0,2,00:37:12
65.0,2,00:37:13
64.0,2,00:37:14
63.0,2,00:37:15
63.0,2,00:37:16
63.0,2,00:37:17
64.0,2,00:37:18
64.0,2,00:37:19
65.0,2,00:37:20
66.0,2,00:37:21
71.0,2,00:37:28
71.0,2,00:37:29
71.0,2,00:37:30
70.0,2,00:37:31
70.0,2,00:37:32
71.0,2,00:37:33
71.0,2,00:37:34
72.0,2,00:37:35
74.0,2,00:37:36
75.0,2,00:37:37
75.0,2,00:37:38
75.0,2,00:37:39
75.0,2,00:37:40
75.0,2,00:37:41
75.0,2,00:37:42
76.0,2,00:37:43
76.0,2,00:37:44
77.0,2,00:37:45
77.0,2,00:37:46
76.0,2,00:37:47
76.0,2,00:37:48
75.0,2,00:37:49
75.0,2,00:37:50
73.0,2,00:37:51
73.0,2,00:37:52
73.0,2,00:37:53
72.0,2,00:37:54
72.0,2,00:38:01
72.0,2,00:38:02
72.0,2,00:38:03
72.0,2,00:38:04
71.0,2,00:38:05
70.0,2,00:38:06
70.0,2,00:38:07
70.0,2,00:38:08
70.0,2,00:38:09
70.0,2,00:38:10
71.0,2,00:38:11
72.0,2,00:38:12
73.0,2,00:38:13
73.0,2,00:38:14
74.0,2,00:38:15
74.0,2,00:38:16
73.0,2,00:38:17
72.0,2,00:38:18
72.0,2,00:38:19
72.0,2,00:38:20
72.0,2,00:38:21
73.0,2,00:38:22
72.0,2,00:38:23
72.0,2,00:38:24
71.0,2,00:38:25
70.0,2,00:38:26
69.0,2,00:38:27
69.0,2,00:38:37
68.0,2,00:38:38
69.0,2,00:38:39
69.0,2,00:38:40
71.0,2,00:38:41
72.0,2,00:38:42
72.0,2,00:38:43
72.0,2,00:38:44
72.0,2,00:38:45
71.0,2,00:38:46
70.0,2,00:38:47
69.0,2,00:38:48
69.0,2,00:38:49
68.0,2,00:38:50
68.0,2,00:38:51
68.0,2,00:38:52
69.0,2,00:38:53
71.0,2,00:38:54
72.0,2,00:38:55
73.0,2,00:38:56
76.0,2,00:38:57
77.0,2,00:38:58
77.0,2,00:38:59
75.0,2,00:39:00
74.0,2,00:39:01
73.0,2,00:39:02
72.0,2,00:39:03
68.0,2,00:39:10
67.0,2,00:39:11
66.0,2,00:39:12
66.0,2,00:39:13
66.0,2,00:39:14
66.0,2,00:39:15
66.0,2,00:39:16
66.0,2,00:39:17
66.0,2,00:39:18
66.0,2,00:39:19
67.0,2,00:39:20
67.0,2,00:39:21
67.0,2,00:39:22
67.0,2,00:39:23
67.0,2,00:39:24
66.0,2,00:39:25
67.0,2,00:39:26
68.0,2,00:39:27
69.0,2,00:39:28
69.0,2,00:39:29
69.0,2,00:39:30
69.0,2,00:39:31
70.0,2,00:39:32
71.0,2,00:39:33
72.0,2,00:39:34
73.0,2,00:39:35
74.0,2,00:39:36
75.0,2,00:39:43
75.0,2,00:39:44
75.0,2,00:39:45
74.0,2,00:39:46
74.0,2,00:39:47
73.0,2,00:39:48
72.0,2,00:39:49
71.0,2,00:39:50
70.0,2,00:39:51
69.0,2,00:39:52
68.0,2,00:39:53
68.0,2,00:39:54
67.0,2,00:39:55
