HR,day,time
59.0,2,00:28:00
59.0,2,00:28:01
58.0,2,00:28:02
58.0,2,00:28:03
58.0,2,00:28:04
58.0,2,00:28:05
58.0,2,00:28:06
58.0,2,00:28:07
58.0,2,00:28:08
57.0,2,00:28:09
57.0,2,00:28:10
57.0,2,00:28:11
56.0,2,00:28:12
56.0,2,00:28:13
56.0,2,00:28:14
56.0,2,00:28:15
56.0,2,00:28:16
56.0,2,00:28:17
55.0,2,00:28:18
55.0,2,00:28:19
55.0,2,00:28:20
55.0,2,00:28:21
55.0,2,00:28:22
57.0,2,00:28:29
57.0,2,00:28:30
57.0,2,00:28:31
57.0,2,00:28:32
57.0,2,00:28:33
59.0,2,00:28:34
60.0,2,00:28:35
61.0,2,00:28:36
61.0,2,00:28:37
60.0,2,00:28:38
59.0,2,00:28:39
59.0,2,00:28:40
59.0,2,00:28:41
58.0,2,00:28:42
58.0,2,00:28:43
57.0,2,00:28:44
57.0,2,00:28:45
57.0,2,00:28:46
57.0,2,00:28:47
57.0,2,00:28:48
57.0,2,00:28:49
56.0,2,00:28:50
56.0,2,00:28:51
56.0,2,00:28:52
55.0,2,00:28:53
55.0,2,00:28:54
54.0,2,00:28:55
56.0,2,00:29:02
56.0,2,00:29:03
57.0,2,00:29:04
58.0,2,00:29:05
58.0,2,00:29:06
58.0,2,00:29:07
58.0,2,00:29:08
57.0,2,00:29:09
57.0,2,00:29:10
57.0,2,00:29:11
57.0,2,00:29:12
57.0,2,00:29:13
57.0,2,00:29:14
57.0,2,00:29:15
57.0,2,00:29:16
57.0,2,00:29:17
57.0,2,00:29:18
57.0,2,00:29:19
56.0,2,00:29:20
56.0,2,00:29:21
56.0,2,00:29:22
56.0,2,00:29:23
56.0,2,00:29:24
55.0,2,00:29:25
56.0,2,00:29:26
56.0,2,00:29:27
56.0,2,00:29:28
56.0,2,00:29:35
56.0,2,00:29:36
56.0,2,00:29:37
56.0,2,00:29:38
56.0,2,00:29:39
57.0,2,00:29:40
57.0,2,00:29:41
58.0,2,00:29:42
58.0,2,00:29:43
59.0,2,00:29:44
60.0,2,00:29:45
60.0,2,00:29:46
60.0,2,00:29:47
60.0,2,00:29:48
60.0,2,00:29:49
60.0,2,00:29:50
59.0,2,00:29:51
58.0,2,00:29:52
58.0,2,00:29:53
58.0,2,00:29:54
57.0,2,00:29:55
58.0,2,00:29:56
58.0,2,00:29:57
58.0,2,00:29:58
58.0,2,00:29:59
58.0,2,00:30:00
58.0,2,00:30:01
60.0,2,00:30:08
61.0,2,00:30:09
61.0,2,00:30:10
60.0,2,00:30:11
58.0,2,00:30:12
58.0,2,00:30:13
57.0,2,00:30:14
57.0,2,00:30:15
57.0,2,00:30:16
56.0,2,00:30:17
57.0,2,00:30:18
57.0,2,00:30:19
57.0,2,00:30:20
57.0,2,00:30:21
57.0,2,00:30:22
56.0,2,00:30:23
56.0,2,00:30:24
56.0,2,00:30:25
56.0,2,00:30:26
57.0,2,00:30:27
57.0,2,00:30:28
57.0,2,00:30:29
57.0,2,00:30:30
57.0,2,00:30:31
58.0,2,00:30:32
58.0,2,00:30:33
57.0,2,00:30:34
59.0,2,00:30:41
59.0,2,00:30:42
59.0,2,00:30:43
59.0,2,00:30:44
60.0,2,00:30:45
62.0,2,00:30:46
63.0,2,00:30:47
64.0,2,00:30:48
64.0,2,00:30:49
63.0,2,00:30:50
63.0,2,00:30:51
61.0,2,00:30:52
60.0,2,00:30:53
60.0,2,00:30:54
59.0,2,00:30:55
59.0,2,00:30:56
58.0,2,00:30:57
58.0,2,00:30:58
58.0,2,00:30:59
58.0,2,00:31:00
58.0,2,00:31:01
58.0,2,00:31:02
58.0,2,00:31:03
58.0,2,00:31:04
58.0,2,00:31:05
58.0,2,00:31:06
58.0,2,00:31:07
57.0,2,00:31:14
57.0,2,00:31:15
57.0,2,00:31:16
57.0,2,00:31:17
57.0,2,00:31:18
57.0,2,00:31:19
57.0,2,00:31:20
57.0,2,00:31:21
57.0,2,00:31:22
57.0,2,00:31:23
58.0,2,00:31:24
58.0,2,00:31:25
58.0,2,00:31:26
58.0,2,00:31:27
59.0,2,00:31:28
59.0,2,00:31:29
60.0,2,00:31:30
60.0,2,00:31:31
59.0,2,00:31:32
59.0,2,00:31:33
58.0,2,00:31:34
58.0,2,00:31:35
58.0,2,00:31:36
58.0,2,00:31:37
58.0,2,00:31:38
59.0,2,00:31:39
59.0,2,00:31:40
58.0,2,00:31:47
58.0,2,00:31:48
58.0,2,00:31:49
59.0,2,00:31:50
59.0,2,00:31:51
59.0,2,00:31:52
59.0,2,00:31:53
59.0,2,00:31:54
59.0,2,00:31:55
59.0,2,00:31:56
59.0,2,00:31:57
60.0,2,00:31:58
61.0,2,00:31:59
61.0,2,00:32:00
61.0,2,00:32:01
60.0,2,00:32:02
60.0,2,00:32:03
58.0,2,00:32:04
57.0,2,00:32:05
56.0,2,00:32:06
55.0,2,00:32:07
55.0,2,00:32:08
55.0,2,00:32:09
55.0,2,00:32:10
55.0,2,00:32:11
55.0,2,00:32:12
55.0,2,00:32:13
57.0,2,00:32:20
57.0,2,00:32:21
58.0,2,00:32:22
58.0,2,00:32:23
58.0,2,00:32:24
59.0,2,00:32:25
59.0,2,00:32:26
60.0,2,00:32:27
61.0,2,00:32:28
61.0,2,00:32:29
61.0,2,00:32:30
61.0,2,00:32:31
61.0,2,00:32:32
60.0,2,00:32:33
60.0,2,00:32:34
59.0,2,00:32:35
59.0,2,00:32:36
59.0,2,00:32:37
59.0,2,00:32:38
59.0,2,00:32:39
59.0,2,00:32:40
60.0,2,00:32:41
59.0,2,00:32:42
59.0,2,00:32:43
59.0,2,00:32:44
59.0,2,00:32:45
59.0,2,00:32:46
56.0,2,00:32:53
56.0,2,00:32:54
56.0,2,00:32:55
56.0,2,00:32:56
56.0,2,00:32:57
57.0,2,00:32:58
58.0,2,00:32:59
58.0,2,00:33:00
59.0,2,00:33:01
58.0,2,00:33:02
58.0,2,00:33:03
58.0,2,00:33:04
57.0,2,00:33:05
57.0,2,00:33:06
57.0,2,00:33:07
56.0,2,00:33:08
56.0,2,00:33:09
56.0,2,00:33:10
57.0,2,00:33:11
57.0,2,00:33:12
57.0,2,00:33:13
57.0,2,00:33:14
58.0,2,00:33:15
58.0,2,00:33:16
59.0,2,00:33:17
59.0,2,00:33:18
60.0,2,00:33:19
60.0,2,00:33:26
60.0,2,00:33:27
60.0,2,00:33:28
60.0,2,00:33:29
60.0,2,00:33:30
60.0,2,00:33:31
60.0,2,00:33:32
60.0,2,00:33:33
59.0,2,00:33:34
59.0,2,00:33:35
59.0,2,00:33:36
59.0,2,00:33:37
59.0,2,00:33:38
59.0,2,00:33:39
59.0,2,00:33:40
59.0,2,00:33:41
59.0,2,00:33:42
59.0,2,00:33:43
59.0,2,00:33:44
58.0,2,00:33:45
58.0,2,00:33:46
57.0,2,00:33:47
56.0,2,00:33:48
56.0,2,00:33:49
56.0,2,00:33:50
56.0,2,00:33:51
56.0,2,00:33:52
58.0,2,00:33:59
58.0,2,00:34:00
58.0,2,00:34:01
58.0,2,00:34:02
58.0,2,00:34:03
58.0,2,00:34:04
58.0,2,00:34:05
58.0,2,00:34:06
58.0,2,00:34:07
59.0,2,00:34:08
59.0,2,00:34:09
59.0,2,00:34:10
60.0,2,00:34:11
60.0,2,00:34:12
60.0,2,00:34:13
60.0,2,00:34:14
59.0,2,00:34:15
59.0,2,00:34:16
59.0,2,00:34:17
59.0,2,00:34:18
59.0,2,00:34:19
59.0,2,00:34:20
59.0,2,00:34:21
58.0,2,00:34:22
59.0,2,00:34:23
59.0,2,00:34:24
59.0,2,00:34:25
59.0,2,00:34:32
59.0,2,00:34:33
59.0,2,00:34:34
59.0,2,00:34:35
59.0,2,00:34:36
60.0,2,00:34:37
59.0,2,00:34:38
60.0,2,00:34:39
60.0,2,00:34:40
60.0,2,00:34:41
60.0,2,00:34:42
61.0,2,00:34:43
61.0,2,00:34:44
61.0,2,00:34:45
61.0,2,00:34:46
60.0,2,00:34:47
60.0,2,00:34:48
60.0,2,00:34:49
59.0,2,00:34:50
59.0,2,00:34:51
59.0,2,00:34:52
59.0,2,00:34:53
59.0,2,00:34:54
58.0,2,00:34:55
58.0,2,00:34:56
58.0,2,00:34:57
58.0,2,00:34:58
60.0,2,00:35:05
60.0,2,00:35:06
59.0,2,00:35:07
59.0,2,00:35:08
59.0,2,00:35:09
59.0,2,00:35:10
59.0,2,00:35:11
59.0,2,00:35:12
59.0,2,00:35:13
59.0,2,00:35:14
59.0,2,00:35:15
59.0,2,00:35:16
59.0,2,00:35:17
59.0,2,00:35:18
59.0,2,00:35:19
59.0,2,00:35:20
59.0,2,00:35:21
59.0,2,00:35:22
59.0,2,00:35:23
59.0,2,00:35:24
59.0,2,00:35:25
59.0,2,00:35:26
59.0,2,00:35:27
59.0,2,00:35:28
59.0,2,00:35:29
60.0,2,00:35:30
61.0,2,00:35:31
61.0,2,00:35:38
61.0,2,00:35:39
61.0,2,00:35:40
61.0,2,00:35:41
60.0,2,00:35:42
60.0,2,00:35:43
60.0,2,00:35:44
60.0,2,00:35:45
60.0,2,00:35:46
60.0,2,00:35:47
59.0,2,00:35:48
59.0,2,00:35:49
59.0,2,00:35:50
59.0,2,00:35:51
59.0,2,00:35:52
59.0,2,00:35:53
59.0,2,00:35:54
59.0,2,00:35:55
59.0,2,00:35:56
59.0,2,00:35:57
59.0,2,00:35:58
59.0,2,00:35:59
60.0,2,00:36:00
61.0,2,00:36:01
61.0,2,00:36:02
61.0,2,00:36:03
61.0,2,00:36:04
65.0,2,00:36:11
64.0,2,00:36:12
63.0,2,00:36:13
62.0,2,00:36:14
62.0,2,00:36:15
61.0,2,00:36:16
61.0,2,00:36:17
60.0,2,00:36:18
60.0,2,00:36:19
60.0,2,00:36:20
60.0,2,00:36:21
60.0,2,00:36:22
60.0,2,00:36:23
60.0,2,00:36:24
60.0,2,00:36:25
60.0,2,00:36:26
61.0,2,00:36:27
61.0,2,00:36:28
61.0,2,00:36:29
62.0,2,00:36:30
62.0,2,00:36:31
62.0,2,00:36:32
62.0,2,00:36:33
62.0,2,00:36:34
62.0,2,00:36:35
62.0,2,00:36:36
63.0,2,00:36:37
63.0,2,00:36:44
63.0,2,00:36:45
63.0,2,00:36:46
63.0,2,00:36:47
63.0,2,00:36:48
62.0,2,00:36:49
62.0,2,00:36:50
62.0,2,00:36:51
61.0,2,00:36:52
61.0,2,00:36:53
61.0,2,00:36:54
60.0,2,00:36:55
60.0,2,00:36:56
60.0,2,00:36:57
60.0,2,00:36:58
60.0,2,00:36:59
60.0,2,00:37:00
60.0,2,00:37:01
60.0,2,00:37:02
60.0,2,00:37:03
60.0,2,00:37:04
61.0,2,00:37:05
61.0,2,00:37:06
61.0,2,00:37:07
61.0,2,00:37:08
61.0,2,00:37:09
61.0,2,00:37:10
61.0,2,00:37:17
61.0,2,00:37:18
61.0,2,00:37:19
61.0,2,00:37:20
61.0,2,00:37:21
60.0,2,00:37:22
61.0,2,00:37:23
61.0,2,00:37:24
61.0,2,00:37:25
61.0,2,00:37:26
61.0,2,00:37:27
61.0,2,00:37:28
61.0,2,00:37:29
61.0,2,00:37:30
61.0,2,00:37:31
61.0,2,00:37:32
61.0,2,00:37:33
61.0,2,00:37:34
61.0,2,00:37:35
62.0,2,00:37:36
61.0,2,00:37:37
61.0,2,00:37:38
