HR,day,time
68.0,2,00:44:00
68.0,2,00:44:01
67.0,2,00:44:02
66.0,2,00:44:03
65.0,2,00:44:04
66.0,2,00:44:05
67.0,2,00:44:06
67.0,2,00:44:07
66.0,2,00:44:08
65.0,2,00:44:09
64.0,2,00:44:10
64.0,2,00:44:11
63.0,2,00:44:12
64.0,2,00:44:13
64.0,2,00:44:14
63.0,2,00:44:15
63.0,2,00:44:16
64.0,2,00:44:23
64.0,2,00:44:24
64.0,2,00:44:25
64.0,2,00:44:26
63.0,2,00:44:27
63.0,2,00:44:28
63.0,2,00:44:29
63.0,2,00:44:30
62.0,2,00:44:31
62.0,2,00:44:32
63.0,2,00:44:33
63.0,2,00:44:34
63.0,2,00:44:35
63.0,2,00:44:36
64.0,2,00:44:37
65.0,2,00:44:38
65.0,2,00:44:39
64.0,2,00:44:40
63.0,2,00:44:41
64.0,2,00:44:42
64.0,2,00:44:43
64.0,2,00:44:44
64.0,2,00:44:45
64.0,2,00:44:46
63.0,2,00:44:47
62.0,2,00:44:48
62.0,2,00:44:49
64.0,2,00:44:56
64.0,2,00:44:57
63.0,2,00:44:58
63.0,2,00:44:59
62.0,2,00:45:00
62.0,2,00:45:01
62.0,2,00:45:02
62.0,2,00:45:03
63.0,2,00:45:04
63.0,2,00:45:05
63.0,2,00:45:06
62.0,2,00:45:07
62.0,2,00:45:08
63.0,2,00:45:09
64.0,2,00:45:10
64.0,2,00:45:11
64.0,2,00:45:12
65.0,2,00:45:13
65.0,2,00:45:14
64.0,2,00:45:15
64.0,2,00:45:16
65.0,2,00:45:17
66.0,2,00:45:18
66.0,2,00:45:19
65.0,2,00:45:20
65.0,2,00:45:21
64.0,2,00:45:22
65.0,2,00:45:29
66.0,2,00:45:30
66.0,2,00:45:31
66.0,2,00:45:32
66.0,2,00:45:33
67.0,2,00:45:34
68.0,2,00:45:35
67.0,2,00:45:36
66.0,2,00:45:37
66.0,2,00:45:38
65.0,2,00:45:39
64.0,2,00:45:40
65.0,2,00:45:41
64.0,2,00:45:42
65.0,2,00:45:43
66.0,2,00:45:44
66.0,2,00:45:45
65.0,2,00:45:46
64.0,2,00:45:47
64.0,2,00:45:48
64.0,2,00:45:49
63.0,2,00:45:50
63.0,2,00:45:51
63.0,2,00:45:52
64.0,2,00:45:53
64.0,2,00:45:54
63.0,2,00:45:55
62.0,2,00:46:02
62.0,2,00:46:03
62.0,2,00:46:04
63.0,2,00:46:05
63.0,2,00:46:06
64.0,2,00:46:07
63.0,2,00:46:08
63.0,2,00:46:09
63.0,2,00:46:10
63.0,2,00:46:11
63.0,2,00:46:12
65.0,2,00:46:13
65.0,2,00:46:14
64.0,2,00:46:15
64.0,2,00:46:16
64.0,2,00:46:17
63.0,2,00:46:18
62.0,2,00:46:19
62.0,2,00:46:20
63.0,2,00:46:21
64.0,2,00:46:22
63.0,2,00:46:23
62.0,2,00:46:24
62.0,2,00:46:25
61.0,2,00:46:26
61.0,2,00:46:27
61.0,2,00:46:28
63.0,2,00:46:35
62.0,2,00:46:36
61.0,2,00:46:37
61.0,2,00:46:38
62.0,2,00:46:39
61.0,2,00:46:40
61.0,2,00:46:41
61.0,2,00:46:42
62.0,2,00:46:43
64.0,2,00:46:44
65.0,2,00:46:45
66.0,2,00:46:46
65.0,2,00:46:47
65.0,2,00:46:48
66.0,2,00:46:49
68.0,2,00:46:50
68.0,2,00:46:51
67.0,2,00:46:52
66.0,2,00:46:53
65.0,2,00:46:54
64.0,2,00:46:55
64.0,2,00:46:56
63.0,2,00:46:57
63.0,2,00:46:58
62.0,2,00:46:59
62.0,2,00:47:00
62.0,2,00:47:01
59.0,2,00:47:08
59.0,2,00:47:09
59.0,2,00:47:10
59.0,2,00:47:11
60.0,2,00:47:12
60.0,2,00:47:13
60.0,2,00:47:14
59.0,2,00:47:15
59.0,2,00:47:16
60.0,2,00:47:17
61.0,2,00:47:18
61.0,2,00:47:19
61.0,2,00:47:20
61.0,2,00:47:21
61.0,2,00:47:22
60.0,2,00:47:23
60.0,2,00:47:24
60.0,2,00:47:25
61.0,2,00:47:26
61.0,2,00:47:27
62.0,2,00:47:28
63.0,2,00:47:29
62.0,2,00:47:30
61.0,2,00:47:31
61.0,2,00:47:32
62.0,2,00:47:33
62.0,2,00:47:34
60.0,2,00:47:41
60.0,2,00:47:42
60.0,2,00:47:43
59.0,2,00:47:44
59.0,2,00:47:45
59.0,2,00:47:46
59.0,2,00:47:47
59.0,2,00:47:48
59.0,2,00:47:49
59.0,2,00:47:50
59.0,2,00:47:51
59.0,2,00:47:52
59.0,2,00:47:53
59.0,2,00:47:54
59.0,2,00:47:55
59.0,2,00:47:56
59.0,2,00:47:57
59.0,2,00:47:58
59.0,2,00:47:59
59.0,2,00:48:00
60.0,2,00:48:01
60.0,2,00:48:02
60.0,2,00:48:03
62.0,2,00:48:04
63.0,2,00:48:05
63.0,2,00:48:06
63.0,2,00:48:07
61.0,2,00:48:14
61.0,2,00:48:15
60.0,2,00:48:16
60.0,2,00:48:17
61.0,2,00:48:18
61.0,2,00:48:19
61.0,2,00:48:20
61.0,2,00:48:21
61.0,2,00:48:22
61.0,2,00:48:23
60.0,2,00:48:24
61.0,2,00:48:25
61.0,2,00:48:26
60.0,2,00:48:27
60.0,2,00:48:28
60.0,2,00:48:29
61.0,2,00:48:30
61.0,2,00:48:31
61.0,2,00:48:32
61.0,2,00:48:33
62.0,2,00:48:34
63.0,2,00:48:35
64.0,2,00:48:36
64.0,2,00:48:37
64.0,2,00:48:38
63.0,2,00:48:39
63.0,2,00:48:40
61.0,2,00:48:47
61.0,2,00:48:48
62.0,2,00:48:49
62.0,2,00:48:50
63.0,2,00:48:51
62.0,2,00:48:52
62.0,2,00:48:53
62.0,2,00:48:54
63.0,2,00:48:55
63.0,2,00:48:56
62.0,2,00:48:57
61.0,2,00:48:58
60.0,2,00:48:59
61.0,2,00:49:00
60.0,2,00:49:01
61.0,2,00:49:02
61.0,2,00:49:03
62.0,2,00:49:04
62.0,2,00:49:05
61.0,2,00:49:06
61.0,2,00:49:07
61.0,2,00:49:08
61.0,2,00:49:09
61.0,2,00:49:10
61.0,2,00:49:11
62.0,2,00:49:12
61.0,2,00:49:13
60.0,2,00:49:20
61.0,2,00:49:21
60.0,2,00:49:22
59.0,2,00:49:23
59.0,2,00:49:24
59.0,2,00:49:25
60.0,2,00:49:26
60.0,2,00:49:27
60.0,2,00:49:28
60.0,2,00:49:29
60.0,2,00:49:30
61.0,2,00:49:31
61.0,2,00:49:32
61.0,2,00:49:33
61.0,2,00:49:34
62.0,2,00:49:35
62.0,2,00:49:36
61.0,2,00:49:37
60.0,2,00:49:38
61.0,2,00:49:39
61.0,2,00:49:40
62.0,2,00:49:41
63.0,2,00:49:42
63.0,2,00:49:43
63.0,2,00:49:44
62.0,2,00:49:45
63.0,2,00:49:46
64.0,2,00:49:53
63.0,2,00:49:54
64.0,2,00:49:55
64.0,2,00:49:56
64.0,2,00:49:57
65.0,2,00:49:58
64.0,2,00:49:59
64.0,2,00:50:00
63.0,2,00:50:01
62.0,2,00:50:02
62.0,2,00:50:03
62.0,2,00:50:04
62.0,2,00:50:05
61.0,2,00:50:06
62.0,2,00:50:07
61.0,2,00:50:08
61.0,2,00:50:09
61.0,2,00:50:10
61.0,2,00:50:11
61.0,2,00:50:12
61.0,2,00:50:13
60.0,2,00:50:14
60.0,2,00:50:15
60.0,2,00:50:16
60.0,2,00:50:17
60.0,2,00:50:18
59.0,2,00:50:19
61.0,2,00:50:26
62.0,2,00:50:27
63.0,2,00:50:28
62.0,2,00:50:29
61.0,2,00:50:30
61.0,2,00:50:31
62.0,2,00:50:32
63.0,2,00:50:33
63.0,2,00:50:34
63.0,2,00:50:35
64.0,2,00:50:36
64.0,2,00:50:37
63.0,2,00:50:38
63.0,2,00:50:39
63.0,2,00:50:40
65.0,2,00:50:41
65.0,2,00:50:42
65.0,2,00:50:43
65.0,2,00:50:44
65.0,2,00:50:45
66.0,2,00:50:46
65.0,2,00:50:47
