HR,day,time
65.0,2,00:08:00
65.0,2,00:08:01
65.0,2,00:08:02
65.0,2,00:08:03
65.0,2,00:08:04
66.0,2,00:08:05
66.0,2,00:08:06
67.0,2,00:08:07
66.0,2,00:08:08
66.0,2,00:08:09
66.0,2,00:08:10
66.0,2,00:08:11
66.0,2,00:08:12
66.0,2,00:08:13
65.0,2,00:08:20
65.0,2,00:08:21
66.0,2,00:08:22
65.0,2,00:08:23
65.0,2,00:08:24
65.0,2,00:08:25
64.0,2,00:08:26
64.0,2,00:08:27
64.0,2,00:08:28
64.0,2,00:08:29
64.0,2,00:08:30
64.0,2,00:08:31
64.0,2,00:08:32
64.0,2,00:08:33
64.0,2,00:08:34
64.0,2,00:08:35
64.0,2,00:08:36
64.0,2,00:08:37
64.0,2,00:08:38
64.0,2,00:08:39
64.0,2,00:08:40
63.0,2,00:08:41
63.0,2,00:08:42
63.0,2,00:08:43
63.0,2,00:08:44
63.0,2,00:08:45
63.0,2,00:08:46
64.0,2,00:08:53
64.0,2,00:08:54
64.0,2,00:08:55
64.0,2,00:08:56
64.0,2,00:08:57
64.0,2,00:08:58
64.0,2,00:08:59
64.0,2,00:09:00
64.0,2,00:09:01
64.0,2,00:09:02
64.0,2,00:09:03
64.0,2,00:09:04
65.0,2,00:09:05
66.0,2,00:09:06
67.0,2,00:09:07
68.0,2,00:09:08
68.0,2,00:09:09
67.0,2,00:09:10
66.0,2,00:09:11
65.0,2,00:09:12
65.0,2,00:09:13
66.0,2,00:09:14
66.0,2,00:09:15
65.0,2,00:09:16
64.0,2,00:09:17
64.0,2,00:09:18
63.0,2,00:09:19
63.0,2,00:09:29
63.0,2,00:09:30
63.0,2,00:09:31
63.0,2,00:09:32
63.0,2,00:09:33
63.0,2,00:09:34
63.0,2,00:09:35
63.0,2,00:09:36
63.0,2,00:09:37
63.0,2,00:09:38
63.0,2,00:09:39
62.0,2,00:09:40
62.0,2,00:09:41
62.0,2,00:09:42
63.0,2,00:09:43
63.0,2,00:09:44
63.0,2,00:09:45
63.0,2,00:09:46
62.0,2,00:09:47
62.0,2,00:09:48
62.0,2,00:09:49
62.0,2,00:09:50
62.0,2,00:09:51
62.0,2,00:09:52
62.0,2,00:09:53
62.0,2,00:09:54
62.0,2,00:09:55
64.0,2,00:10:12
64.0,2,00:10:13
64.0,2,00:10:14
64.0,2,00:10:15
63.0,2,00:10:16
63.0,2,00:10:17
63.0,2,00:10:18
63.0,2,00:10:19
63.0,2,00:10:20
63.0,2,00:10:21
62.0,2,00:10:22
62.0,2,00:10:23
62.0,2,00:10:24
62.0,2,00:10:25
62.0,2,00:10:26
62.0,2,00:10:27
62.0,2,00:10:28
62.0,2,00:10:29
62.0,2,00:10:30
62.0,2,00:10:31
62.0,2,00:10:32
62.0,2,00:10:33
62.0,2,00:10:34
62.0,2,00:10:35
63.0,2,00:10:36
63.0,2,00:10:37
63.0,2,00:10:38
64.0,2,00:10:45
64.0,2,00:10:46
65.0,2,00:10:47
65.0,2,00:10:48
65.0,2,00:10:49
65.0,2,00:10:50
65.0,2,00:10:51
65.0,2,00:10:52
65.0,2,00:10:53
65.0,2,00:10:54
65.0,2,00:10:55
64.0,2,00:10:56
64.0,2,00:10:57
64.0,2,00:10:58
64.0,2,00:10:59
64.0,2,00:11:00
65.0,2,00:11:01
66.0,2,00:11:02
67.0,2,00:11:03
67.0,2,00:11:04
67.0,2,00:11:05
66.0,2,00:11:06
66.0,2,00:11:07
65.0,2,00:11:08
65.0,2,00:11:09
65.0,2,00:11:10
64.0,2,00:11:11
62.0,2,00:11:28
62.0,2,00:11:29
62.0,2,00:11:30
62.0,2,00:11:31
63.0,2,00:11:32
62.0,2,00:11:33
62.0,2,00:11:34
62.0,2,00:11:35
62.0,2,00:11:36
63.0,2,00:11:37
64.0,2,00:11:38
64.0,2,00:11:39
65.0,2,00:11:40
65.0,2,00:11:41
66.0,2,00:11:42
67.0,2,00:11:43
68.0,2,00:11:44
68.0,2,00:11:45
68.0,2,00:11:46
69.0,2,00:11:47
69.0,2,00:11:48
69.0,2,00:11:49
68.0,2,00:11:50
67.0,2,00:11:51
67.0,2,00:11:52
66.0,2,00:11:53
66.0,2,00:11:54
64.0,2,00:12:01
64.0,2,00:12:02
63.0,2,00:12:03
64.0,2,00:12:04
64.0,2,00:12:05
65.0,2,00:12:06
65.0,2,00:12:07
66.0,2,00:12:08
66.0,2,00:12:09
66.0,2,00:12:10
66.0,2,00:12:11
65.0,2,00:12:12
65.0,2,00:12:13
65.0,2,00:12:14
65.0,2,00:12:15
65.0,2,00:12:16
64.0,2,00:12:17
64.0,2,00:12:18
63.0,2,00:12:19
62.0,2,00:12:20
62.0,2,00:12:21
62.0,2,00:12:22
62.0,2,00:12:23
63.0,2,00:12:24
64.0,2,00:12:25
64.0,2,00:12:26
65.0,2,00:12:27
63.0,2,00:12:34
64.0,2,00:12:35
64.0,2,00:12:36
63.0,2,00:12:37
63.0,2,00:12:38
63.0,2,00:12:39
63.0,2,00:12:40
63.0,2,00:12:41
63.0,2,00:12:42
64.0,2,00:12:43
64.0,2,00:12:44
64.0,2,00:12:45
63.0,2,00:12:46
64.0,2,00:12:47
64.0,2,00:12:48
65.0,2,00:12:49
65.0,2,00:12:50
66.0,2,00:12:51
66.0,2,00:12:52
67.0,2,00:12:53
66.0,2,00:12:54
66.0,2,00:12:55
65.0,2,00:12:56
65.0,2,00:12:57
65.0,2,00:12:58
65.0,2,00:12:59
65.0,2,00:13:00
63.0,2,00:13:07
63.0,2,00:13:08
63.0,2,00:13:09
63.0,2,00:13:10
64.0,2,00:13:11
64.0,2,00:13:12
64.0,2,00:13:13
64.0,2,00:13:14
64.0,2,00:13:15
63.0,2,00:13:16
64.0,2,00:13:17
64.0,2,00:13:18
64.0,2,00:13:19
63.0,2,00:13:20
63.0,2,00:13:21
63.0,2,00:13:22
63.0,2,00:13:23
63.0,2,00:13:24
63.0,2,00:13:25
64.0,2,00:13:26
64.0,2,00:13:27
64.0,2,00:13:28
64.0,2,00:13:29
64.0,2,00:13:30
64.0,2,00:13:31
63.0,2,00:13:32
63.0,2,00:13:33
63.0,2,00:13:40
63.0,2,00:13:41
64.0,2,00:13:42
64.0,2,00:13:43
63.0,2,00:13:44
63.0,2,00:13:45
64.0,2,00:13:46
64.0,2,00:13:47
64.0,2,00:13:48
64.0,2,00:13:49
64.0,2,00:13:50
64.0,2,00:13:51
64.0,2,00:13:52
64.0,2,00:13:53
64.0,2,00:13:54
64.0,2,00:13:55
64.0,2,00:13:56
64.0,2,00:13:57
63.0,2,00:13:58
63.0,2,00:13:59
63.0,2,00:14:00
63.0,2,00:14:01
63.0,2,00:14:02
63.0,2,00:14:03
63.0,2,00:14:04
63.0,2,00:14:05
63.0,2,00:14:06
63.0,2,00:14:13
63.0,2,00:14:14
63.0,2,00:14:15
62.0,2,00:14:16
63.0,2,00:14:17
63.0,2,00:14:18
62.0,2,00:14:19
62.0,2,00:14:20
63.0,2,00:14:21
63.0,2,00:14:22
62.0,2,00:14:23
63.0,2,00:14:24
63.0,2,00:14:25
63.0,2,00:14:26
63.0,2,00:14:27
63.0,2,00:14:28
63.0,2,00:14:29
63.0,2,00:14:30
63.0,2,00:14:31
63.0,2,00:14:32
63.0,2,00:14:33
63.0,2,00:14:34
63.0,2,00:14:35
63.0,2,00:14:36
63.0,2,00:14:37
63.0,2,00:14:38
63.0,2,00:14:39
64.0,2,00:14:49
64.0,2,00:14:50
64.0,2,00:14:51
64.0,2,00:14:52
64.0,2,00:14:53
64.0,2,00:14:54
64.0,2,00:14:55
63.0,2,00:14:56
63.0,2,00:14:57
63.0,2,00:14:58
63.0,2,00:14:59
63.0,2,00:15:00
63.0,2,00:15:01
63.0,2,00:15:02
63.0,2,00:15:03
63.0,2,00:15:04
63.0,2,00:15:05
63.0,2,00:15:06
63.0,2,00:15:07
63.0,2,00:15:08
63.0,2,00:15:09
63.0,2,00:15:10
63.0,2,00:15:11
63.0,2,00:15:12
63.0,2,00:15:13
63.0,2,00:15:14
62.0,2,00:15:15
62.0,2,00:15:22
62.0,2,00:15:23
62.0,2,00:15:24
62.0,2,00:15:25
62.0,2,00:15:26
62.0,2,00:15:27
62.0,2,00:15:28
63.0,2,00:15:29
65.0,2,00:15:30
66.0,2,00:15:31
66.0,2,00:15:32
66.0,2,00:15:33
66.0,2,00:15:34
66.0,2,00:15:35
65.0,2,00:15:36
65.0,2,00:15:37
65.0,2,00:15:38
65.0,2,00:15:39
64.0,2,00:15:40
64.0,2,00:15:41
64.0,2,00:15:42
64.0,2,00:15:43
64.0,2,00:15:44
64.0,2,00:15:45
63.0,2,00:15:46
63.0,2,00:15:47
63.0,2,00:15:48
64.0,2,00:15:55
64.0,2,00:15:56
64.0,2,00:15:57
64.0,2,00:15:58
64.0,2,00:15:59
64.0,2,00:16:00
64.0,2,00:16:01
64.0,2,00:16:02
64.0,2,00:16:03
64.0,2,00:16:04
64.0,2,00:16:05
64.0,2,00:16:06
64.0,2,00:16:07
64.0,2,00:16:08
64.0,2,00:16:09
63.0,2,00:16:10
63.0,2,00:16:11
62.0,2,00:16:12
62.0,2,00:16:13
62.0,2,00:16:14
62.0,2,00:16:15
62.0,2,00:16:16
62.0,2,00:16:17
62.0,2,00:16:18
62.0,2,00:16:19
62.0,2,00:16:20
61.0,2,00:16:21
61.0,2,00:16:28
61.0,2,00:16:29
61.0,2,00:16:30
61.0,2,00:16:31
61.0,2,00:16:32
61.0,2,00:16:33
61.0,2,00:16:34
61.0,2,00:16:35
61.0,2,00:16:36
61.0,2,00:16:37
61.0,2,00:16:38
61.0,2,00:16:39
62.0,2,00:16:40
62.0,2,00:16:41
62.0,2,00:16:42
61.0,2,00:16:43
61.0,2,00:16:44
62.0,2,00:16:45
63.0,2,00:16:46
64.0,2,00:16:47
64.0,2,00:16:48
65.0,2,00:16:49
65.0,2,00:16:50
66.0,2,00:16:51
67.0,2,00:16:52
67.0,2,00:16:53
68.0,2,00:16:54
64.0,2,00:17:01
64.0,2,00:17:02
64.0,2,00:17:03
64.0,2,00:17:04
64.0,2,00:17:05
63.0,2,00:17:06
63.0,2,00:17:07
63.0,2,00:17:08
63.0,2,00:17:09
63.0,2,00:17:10
63.0,2,00:17:11
63.0,2,00:17:12
63.0,2,00:17:13
63.0,2,00:17:14
63.0,2,00:17:15
63.0,2,00:17:16
62.0,2,00:17:17
62.0,2,00:17:18
62.0,2,00:17:19
62.0,2,00:17:20
62.0,2,00:17:21
62.0,2,00:17:22
61.0,2,00:17:23
61.0,2,00:17:24
61.0,2,00:17:25
61.0,2,00:17:26
61.0,2,00:17:27
63.0,2,00:17:34
62.0,2,00:17:35
62.0,2,00:17:36
62.0,2,00:17:37
62.0,2,00:17:38
61.0,2,00:17:39
61.0,2,00:17:40
61.0,2,00:17:41
61.0,2,00:17:42
61.0,2,00:17:43
61.0,2,00:17:44
61.0,2,00:17:45
61.0,2,00:17:46
60.0,2,00:17:47
60.0,2,00:17:48
60.0,2,00:17:49
60.0,2,00:17:50
59.0,2,00:17:51
59.0,2,00:17:52
60.0,2,00:17:53
60.0,2,00:17:54
60.0,2,00:17:55
60.0,2,00:17:56
60.0,2,00:17:57
60.0,2,00:17:58
60.0,2,00:17:59
60.0,2,00:18:00
60.0,2,00:18:07
60.0,2,00:18:08
60.0,2,00:18:09
60.0,2,00:18:10
60.0,2,00:18:11
60.0,2,00:18:12
60.0,2,00:18:13
60.0,2,00:18:14
60.0,2,00:18:15
61.0,2,00:18:16
61.0,2,00:18:17
61.0,2,00:18:18
61.0,2,00:18:19
61.0,2,00:18:20
61.0,2,00:18:21
61.0,2,00:18:22
62.0,2,00:18:23
62.0,2,00:18:24
62.0,2,00:18:25
62.0,2,00:18:26
62.0,2,00:18:27
62.0,2,00:18:28
62.0,2,00:18:29
62.0,2,00:18:30
62.0,2,00:18:31
62.0,2,00:18:32
61.0,2,00:18:33
60.0,2,00:18:40
60.0,2,00:18:41
60.0,2,00:18:42
60.0,2,00:18:43
60.0,2,00:18:44
60.0,2,00:18:45
60.0,2,00:18:46
60.0,2,00:18:47
60.0,2,00:18:48
60.0,2,00:18:49
60.0,2,00:18:50
60.0,2,00:18:51
60.0,2,00:18:52
61.0,2,00:18:53
61.0,2,00:18:54
61.0,2,00:18:55
60.0,2,00:18:56
60.0,2,00:18:57
60.0,2,00:18:58
61.0,2,00:18:59
60.0,2,00:19:00
60.0,2,00:19:01
60.0,2,00:19:02
60.0,2,00:19:03
60.0,2,00:19:04
60.0,2,00:19:05
60.0,2,00:19:06
62.0,2,00:19:13
62.0,2,00:19:14
62.0,2,00:19:15
62.0,2,00:19:16
62.0,2,00:19:17
62.0,2,00:19:18
62.0,2,00:19:19
62.0,2,00:19:20
61.0,2,00:19:21
61.0,2,00:19:22
61.0,2,00:19:23
60.0,2,00:19:24
60.0,2,00:19:25
60.0,2,00:19:26
60.0,2,00:19:27
59.0,2,00:19:28
59.0,2,00:19:29
59.0,2,00:19:30
59.0,2,00:19:31
59.0,2,00:19:32
59.0,2,00:19:33
59.0,2,00:19:34
60.0,2,00:19:35
60.0,2,00:19:36
60.0,2,00:19:37
60.0,2,00:19:38
60.0,2,00:19:39
61.0,2,00:19:46
60.0,2,00:19:47
