HR,day,time
61.0,2,02:19:00
61.0,2,02:19:01
61.0,2,02:19:08
61.0,2,02:19:09
61.0,2,02:19:10
61.0,2,02:19:11
61.0,2,02:19:12
61.0,2,02:19:13
61.0,2,02:19:14
60.0,2,02:19:15
61.0,2,02:19:16
61.0,2,02:19:17
61.0,2,02:19:18
61.0,2,02:19:19
61.0,2,02:19:20
61.0,2,02:19:21
61.0,2,02:19:22
61.0,2,02:19:23
61.0,2,02:19:24
61.0,2,02:19:25
61.0,2,02:19:26
61.0,2,02:19:27
61.0,2,02:19:28
61.0,2,02:19:29
61.0,2,02:19:30
61.0,2,02:19:31
61.0,2,02:19:32
61.0,2,02:19:33
61.0,2,02:19:34
60.0,2,02:19:41
60.0,2,02:19:42
60.0,2,02:19:43
60.0,2,02:19:44
60.0,2,02:19:45
60.0,2,02:19:46
60.0,2,02:19:47
60.0,2,02:19:48
60.0,2,02:19:49
60.0,2,02:19:50
60.0,2,02:19:51
60.0,2,02:19:52
60.0,2,02:19:53
60.0,2,02:19:54
60.0,2,02:19:55
60.0,2,02:19:56
60.0,2,02:19:57
60.0,2,02:19:58
60.0,2,02:19:59
60.0,2,02:20:00
60.0,2,02:20:01
60.0,2,02:20:02
60.0,2,02:20:03
60.0,2,02:20:04
60.0,2,02:20:05
59.0,2,02:20:06
60.0,2,02:20:07
59.0,2,02:20:14
59.0,2,02:20:15
59.0,2,02:20:16
59.0,2,02:20:17
59.0,2,02:20:18
59.0,2,02:20:19
59.0,2,02:20:20
59.0,2,02:20:21
59.0,2,02:20:22
59.0,2,02:20:23
59.0,2,02:20:24
59.0,2,02:20:25
58.0,2,02:20:26
58.0,2,02:20:27
58.0,2,02:20:28
58.0,2,02:20:29
58.0,2,02:20:30
58.0,2,02:20:31
58.0,2,02:20:32
59.0,2,02:20:33
59.0,2,02:20:34
58.0,2,02:20:35
59.0,2,02:20:36
59.0,2,02:20:37
59.0,2,02:20:38
59.0,2,02:20:39
59.0,2,02:20:40
59.0,2,02:20:47
59.0,2,02:20:48
59.0,2,02:20:49
59.0,2,02:20:50
59.0,2,02:20:51
59.0,2,02:20:52
59.0,2,02:20:53
59.0,2,02:20:54
59.0,2,02:20:55
59.0,2,02:20:56
59.0,2,02:20:57
59.0,2,02:20:58
59.0,2,02:20:59
59.0,2,02:21:00
60.0,2,02:21:01
60.0,2,02:21:02
60.0,2,02:21:03
60.0,2,02:21:04
60.0,2,02:21:05
60.0,2,02:21:06
60.0,2,02:21:07
59.0,2,02:21:08
59.0,2,02:21:09
60.0,2,02:21:10
60.0,2,02:21:11
59.0,2,02:21:12
60.0,2,02:21:13
59.0,2,02:21:20
59.0,2,02:21:21
59.0,2,02:21:22
59.0,2,02:21:23
60.0,2,02:21:24
60.0,2,02:21:25
59.0,2,02:21:26
59.0,2,02:21:27
60.0,2,02:21:28
60.0,2,02:21:29
60.0,2,02:21:30
60.0,2,02:21:31
60.0,2,02:21:32
60.0,2,02:21:33
59.0,2,02:21:34
59.0,2,02:21:35
59.0,2,02:21:36
59.0,2,02:21:37
59.0,2,02:21:38
59.0,2,02:21:39
59.0,2,02:21:40
59.0,2,02:21:41
59.0,2,02:21:42
59.0,2,02:21:43
59.0,2,02:21:44
59.0,2,02:21:45
59.0,2,02:21:46
61.0,2,02:21:53
61.0,2,02:21:54
61.0,2,02:21:55
61.0,2,02:21:56
60.0,2,02:21:57
61.0,2,02:21:58
61.0,2,02:21:59
61.0,2,02:22:00
61.0,2,02:22:01
61.0,2,02:22:02
61.0,2,02:22:03
62.0,2,02:22:04
61.0,2,02:22:05
61.0,2,02:22:06
61.0,2,02:22:07
61.0,2,02:22:08
61.0,2,02:22:09
61.0,2,02:22:10
61.0,2,02:22:11
61.0,2,02:22:12
61.0,2,02:22:13
62.0,2,02:22:14
62.0,2,02:22:15
62.0,2,02:22:16
62.0,2,02:22:17
63.0,2,02:22:18
62.0,2,02:22:19
62.0,2,02:22:26
62.0,2,02:22:27
62.0,2,02:22:28
63.0,2,02:22:29
63.0,2,02:22:30
63.0,2,02:22:31
63.0,2,02:22:32
63.0,2,02:22:33
63.0,2,02:22:34
63.0,2,02:22:35
63.0,2,02:22:36
63.0,2,02:22:37
63.0,2,02:22:38
63.0,2,02:22:39
63.0,2,02:22:40
63.0,2,02:22:41
64.0,2,02:22:42
64.0,2,02:22:43
63.0,2,02:22:44
64.0,2,02:22:45
64.0,2,02:22:46
63.0,2,02:22:47
63.0,2,02:22:48
63.0,2,02:22:49
63.0,2,02:22:50
63.0,2,02:22:51
63.0,2,02:22:52
64.0,2,02:22:59
64.0,2,02:23:00
64.0,2,02:23:01
64.0,2,02:23:02
64.0,2,02:23:03
64.0,2,02:23:04
64.0,2,02:23:05
64.0,2,02:23:06
64.0,2,02:23:07
64.0,2,02:23:08
64.0,2,02:23:09
65.0,2,02:23:10
65.0,2,02:23:11
65.0,2,02:23:12
64.0,2,02:23:13
64.0,2,02:23:14
64.0,2,02:23:15
64.0,2,02:23:16
64.0,2,02:23:17
64.0,2,02:23:18
64.0,2,02:23:19
64.0,2,02:23:20
64.0,2,02:23:21
64.0,2,02:23:22
65.0,2,02:23:23
65.0,2,02:23:24
65.0,2,02:23:25
65.0,2,02:23:32
66.0,2,02:23:33
66.0,2,02:23:34
66.0,2,02:23:35
66.0,2,02:23:36
66.0,2,02:23:37
66.0,2,02:23:38
66.0,2,02:23:39
66.0,2,02:23:40
66.0,2,02:23:41
66.0,2,02:23:42
66.0,2,02:23:43
66.0,2,02:23:44
66.0,2,02:23:45
66.0,2,02:23:46
66.0,2,02:23:47
66.0,2,02:23:48
65.0,2,02:23:49
65.0,2,02:23:50
65.0,2,02:23:51
65.0,2,02:23:52
65.0,2,02:23:53
65.0,2,02:23:54
65.0,2,02:23:55
65.0,2,02:23:56
65.0,2,02:23:57
65.0,2,02:23:58
66.0,2,02:24:05
66.0,2,02:24:06
66.0,2,02:24:07
66.0,2,02:24:08
66.0,2,02:24:09
66.0,2,02:24:10
66.0,2,02:24:11
66.0,2,02:24:12
66.0,2,02:24:13
66.0,2,02:24:14
66.0,2,02:24:15
66.0,2,02:24:16
66.0,2,02:24:17
66.0,2,02:24:18
67.0,2,02:24:19
67.0,2,02:24:20
67.0,2,02:24:21
67.0,2,02:24:22
67.0,2,02:24:23
68.0,2,02:24:24
68.0,2,02:24:25
68.0,2,02:24:26
67.0,2,02:24:27
68.0,2,02:24:28
67.0,2,02:24:29
67.0,2,02:24:30
66.0,2,02:24:31
65.0,2,02:24:38
65.0,2,02:24:39
65.0,2,02:24:40
65.0,2,02:24:41
66.0,2,02:24:42
65.0,2,02:24:43
66.0,2,02:24:44
67.0,2,02:24:45
67.0,2,02:24:46
67.0,2,02:24:47
66.0,2,02:24:48
66.0,2,02:24:49
66.0,2,02:24:50
66.0,2,02:24:51
66.0,2,02:24:52
66.0,2,02:24:53
65.0,2,02:24:54
66.0,2,02:24:55
66.0,2,02:24:56
65.0,2,02:24:57
65.0,2,02:24:58
65.0,2,02:24:59
66.0,2,02:25:00
65.0,2,02:25:01
65.0,2,02:25:02
65.0,2,02:25:03
64.0,2,02:25:04
65.0,2,02:25:11
65.0,2,02:25:12
65.0,2,02:25:13
65.0,2,02:25:14
65.0,2,02:25:15
65.0,2,02:25:16
65.0,2,02:25:17
65.0,2,02:25:18
66.0,2,02:25:19
66.0,2,02:25:20
66.0,2,02:25:21
66.0,2,02:25:22
66.0,2,02:25:23
67.0,2,02:25:24
67.0,2,02:25:25
67.0,2,02:25:26
67.0,2,02:25:27
67.0,2,02:25:28
66.0,2,02:25:29
66.0,2,02:25:30
66.0,2,02:25:31
66.0,2,02:25:32
66.0,2,02:25:33
66.0,2,02:25:34
66.0,2,02:25:35
66.0,2,02:25:36
67.0,2,02:25:37
66.0,2,02:25:44
65.0,2,02:25:45
65.0,2,02:25:46
65.0,2,02:25:47
65.0,2,02:25:48
64.0,2,02:25:49
64.0,2,02:25:50
64.0,2,02:25:51
64.0,2,02:25:52
65.0,2,02:25:53
65.0,2,02:25:54
65.0,2,02:25:55
65.0,2,02:25:56
64.0,2,02:25:57
64.0,2,02:25:58
65.0,2,02:25:59
66.0,2,02:26:00
66.0,2,02:26:01
66.0,2,02:26:02
65.0,2,02:26:03
64.0,2,02:26:04
64.0,2,02:26:05
63.0,2,02:26:06
63.0,2,02:26:07
63.0,2,02:26:08
63.0,2,02:26:09
63.0,2,02:26:10
64.0,2,02:26:17
64.0,2,02:26:18
64.0,2,02:26:19
64.0,2,02:26:20
64.0,2,02:26:21
64.0,2,02:26:22
64.0,2,02:26:23
64.0,2,02:26:24
64.0,2,02:26:25
64.0,2,02:26:26
64.0,2,02:26:27
65.0,2,02:26:28
65.0,2,02:26:29
65.0,2,02:26:30
65.0,2,02:26:31
65.0,2,02:26:32
65.0,2,02:26:33
65.0,2,02:26:34
66.0,2,02:26:35
66.0,2,02:26:36
65.0,2,02:26:37
65.0,2,02:26:38
65.0,2,02:26:39
66.0,2,02:26:40
66.0,2,02:26:41
65.0,2,02:26:42
65.0,2,02:26:43
64.0,2,02:26:50
64.0,2,02:26:51
64.0,2,02:26:52
63.0,2,02:26:53
64.0,2,02:26:54
64.0,2,02:26:55
64.0,2,02:26:56
64.0,2,02:26:57
64.0,2,02:26:58
64.0,2,02:26:59
64.0,2,02:27:00
64.0,2,02:27:01
64.0,2,02:27:02
64.0,2,02:27:03
64.0,2,02:27:04
63.0,2,02:27:05
63.0,2,02:27:06
62.0,2,02:27:07
63.0,2,02:27:08
63.0,2,02:27:09
63.0,2,02:27:10
63.0,2,02:27:11
62.0,2,02:27:12
62.0,2,02:27:13
63.0,2,02:27:14
63.0,2,02:27:15
63.0,2,02:27:16
63.0,2,02:27:23
64.0,2,02:27:24
64.0,2,02:27:25
63.0,2,02:27:26
63.0,2,02:27:27
63.0,2,02:27:28
63.0,2,02:27:29
