HR,day,time
60.0,2,02:40:23
59.0,2,02:40:24
60.0,2,02:40:25
62.0,2,02:40:26
63.0,2,02:40:27
64.0,2,02:40:28
63.0,2,02:40:29
62.0,2,02:40:30
62.0,2,02:40:31
61.0,2,02:40:32
61.0,2,02:40:33
61.0,2,02:40:34
61.0,2,02:40:35
61.0,2,02:40:36
60.0,2,02:40:37
61.0,2,02:40:38
61.0,2,02:40:39
61.0,2,02:40:40
60.0,2,02:40:41
61.0,2,02:40:42
61.0,2,02:40:43
61.0,2,02:40:44
60.0,2,02:41:34
60.0,2,02:41:35
60.0,2,02:41:36
61.0,2,02:41:37
61.0,2,02:41:38
61.0,2,02:41:39
61.0,2,02:41:40
61.0,2,02:41:41
61.0,2,02:41:42
61.0,2,02:41:43
61.0,2,02:41:44
61.0,2,02:41:45
61.0,2,02:41:46
61.0,2,02:41:47
60.0,2,02:41:48
61.0,2,02:41:49
61.0,2,02:41:50
61.0,2,02:41:51
61.0,2,02:41:52
62.0,2,02:41:53
62.0,2,02:41:54
62.0,2,02:41:55
64.0,2,02:42:42
65.0,2,02:42:43
65.0,2,02:42:44
65.0,2,02:42:45
65.0,2,02:42:46
65.0,2,02:42:47
65.0,2,02:42:48
65.0,2,02:42:49
65.0,2,02:42:50
65.0,2,02:42:51
65.0,2,02:42:52
65.0,2,02:42:53
65.0,2,02:42:54
65.0,2,02:42:55
65.0,2,02:42:56
65.0,2,02:42:57
65.0,2,02:42:58
65.0,2,02:42:59
66.0,2,02:43:00
65.0,2,02:43:01
65.0,2,02:43:02
64.0,2,02:43:03
63.0,2,02:43:04
63.0,2,02:43:51
63.0,2,02:43:52
63.0,2,02:43:53
64.0,2,02:43:54
63.0,2,02:43:55
63.0,2,02:43:56
62.0,2,02:43:57
62.0,2,02:43:58
62.0,2,02:43:59
62.0,2,02:44:00
62.0,2,02:44:01
62.0,2,02:44:02
62.0,2,02:44:03
62.0,2,02:44:04
62.0,2,02:44:05
62.0,2,02:44:06
62.0,2,02:44:07
62.0,2,02:44:08
62.0,2,02:44:09
62.0,2,02:44:10
62.0,2,02:44:11
57.0,2,02:44:55
57.0,2,02:44:56
57.0,2,02:44:57
56.0,2,02:44:58
57.0,2,02:44:59
56.0,2,02:45:00
56.0,2,02:45:01
57.0,2,02:45:02
57.0,2,02:45:03
57.0,2,02:45:04
57.0,2,02:45:05
57.0,2,02:45:06
59.0,2,02:45:07
58.0,2,02:45:08
58.0,2,02:45:09
58.0,2,02:45:10
58.0,2,02:45:11
57.0,2,02:45:12
58.0,2,02:45:13
58.0,2,02:45:14
57.0,2,02:45:15
57.0,2,02:45:16
57.0,2,02:45:17
57.0,2,02:45:18
58.0,2,02:46:03
59.0,2,02:46:04
58.0,2,02:46:05
58.0,2,02:46:06
58.0,2,02:46:07
58.0,2,02:46:08
58.0,2,02:46:09
58.0,2,02:46:10
58.0,2,02:46:11
58.0,2,02:46:12
58.0,2,02:46:13
57.0,2,02:46:14
57.0,2,02:46:15
57.0,2,02:46:16
57.0,2,02:46:17
56.0,2,02:46:18
56.0,2,02:46:19
56.0,2,02:46:20
58.0,2,02:46:21
58.0,2,02:46:22
58.0,2,02:46:23
57.0,2,02:47:31
57.0,2,02:47:32
57.0,2,02:47:33
56.0,2,02:47:34
56.0,2,02:47:35
57.0,2,02:47:36
57.0,2,02:47:37
57.0,2,02:47:38
57.0,2,02:47:39
57.0,2,02:47:40
57.0,2,02:47:41
57.0,2,02:47:42
57.0,2,02:47:43
57.0,2,02:47:44
57.0,2,02:47:45
57.0,2,02:47:46
57.0,2,02:47:47
57.0,2,02:47:48
56.0,2,02:47:49
57.0,2,02:47:50
57.0,2,02:47:51
57.0,2,02:47:52
58.0,2,02:48:47
57.0,2,02:48:48
57.0,2,02:48:49
57.0,2,02:48:50
57.0,2,02:48:51
57.0,2,02:48:52
57.0,2,02:48:53
57.0,2,02:48:54
57.0,2,02:48:55
57.0,2,02:48:56
57.0,2,02:48:57
56.0,2,02:48:58
56.0,2,02:48:59
56.0,2,02:49:00
56.0,2,02:49:01
56.0,2,02:49:02
56.0,2,02:49:03
56.0,2,02:49:04
55.0,2,02:49:05
55.0,2,02:49:06
55.0,2,02:49:07
55.0,2,02:49:08
55.0,2,02:49:09
56.0,2,02:50:00
56.0,2,02:50:01
57.0,2,02:50:02
57.0,2,02:50:03
57.0,2,02:50:04
56.0,2,02:50:05
56.0,2,02:50:06
56.0,2,02:50:07
56.0,2,02:50:08
55.0,2,02:50:09
55.0,2,02:50:10
55.0,2,02:50:11
55.0,2,02:50:12
55.0,2,02:50:13
56.0,2,02:50:14
56.0,2,02:50:15
56.0,2,02:50:16
56.0,2,02:50:17
56.0,2,02:50:18
56.0,2,02:50:19
56.0,2,02:50:20
57.0,2,02:51:25
57.0,2,02:51:26
57.0,2,02:51:27
57.0,2,02:51:28
57.0,2,02:51:29
56.0,2,02:51:30
56.0,2,02:51:31
56.0,2,02:51:32
56.0,2,02:51:33
56.0,2,02:51:34
56.0,2,02:51:35
56.0,2,02:51:36
57.0,2,02:51:37
56.0,2,02:51:38
56.0,2,02:51:39
56.0,2,02:51:40
56.0,2,02:51:41
56.0,2,02:51:42
56.0,2,02:51:43
56.0,2,02:51:44
56.0,2,02:51:45
56.0,2,02:51:46
57.0,2,02:52:30
57.0,2,02:52:31
57.0,2,02:52:32
57.0,2,02:52:33
56.0,2,02:52:34
56.0,2,02:52:35
57.0,2,02:52:36
57.0,2,02:52:37
57.0,2,02:52:38
57.0,2,02:52:39
57.0,2,02:52:40
57.0,2,02:52:41
57.0,2,02:52:42
57.0,2,02:52:43
57.0,2,02:52:44
57.0,2,02:52:45
57.0,2,02:52:46
57.0,2,02:52:47
57.0,2,02:52:48
57.0,2,02:52:49
57.0,2,02:52:50
57.0,2,02:52:51
58.0,2,02:52:52
76.0,2,02:53:12
79.0,2,02:53:13
80.0,2,02:53:14
82.0,2,02:53:15
83.0,2,02:53:16
84.0,2,02:53:17
84.0,2,02:53:18
84.0,2,02:53:19
83.0,2,02:53:20
82.0,2,02:53:21
81.0,2,02:53:22
79.0,2,02:53:23
77.0,2,02:53:24
75.0,2,02:53:25
73.0,2,02:53:26
71.0,2,02:53:27
69.0,2,02:53:28
68.0,2,02:53:29
67.0,2,02:53:30
65.0,2,02:53:31
64.0,2,02:53:32
64.0,2,02:53:33
63.0,2,02:53:34
62.0,2,02:53:35
61.0,2,02:53:36
61.0,2,02:53:37
62.0,2,02:53:38
59.0,2,02:53:45
58.0,2,02:53:46
57.0,2,02:53:47
57.0,2,02:53:48
57.0,2,02:53:49
57.0,2,02:53:50
56.0,2,02:53:51
57.0,2,02:53:52
57.0,2,02:53:53
57.0,2,02:53:54
57.0,2,02:53:55
56.0,2,02:53:56
56.0,2,02:53:57
56.0,2,02:53:58
56.0,2,02:53:59
55.0,2,02:54:00
56.0,2,02:54:01
56.0,2,02:54:02
55.0,2,02:54:03
55.0,2,02:54:04
56.0,2,02:54:05
55.0,2,02:54:06
55.0,2,02:54:07
55.0,2,02:54:08
55.0,2,02:54:09
55.0,2,02:54:10
55.0,2,02:54:11
56.0,2,02:54:18
55.0,2,02:54:19
55.0,2,02:54:20
55.0,2,02:54:21
55.0,2,02:54:22
55.0,2,02:54:23
55.0,2,02:54:24
54.0,2,02:54:25
54.0,2,02:54:26
55.0,2,02:54:27
55.0,2,02:54:28
54.0,2,02:54:29
54.0,2,02:54:30
55.0,2,02:54:31
55.0,2,02:54:32
55.0,2,02:54:33
55.0,2,02:54:34
56.0,2,02:54:35
56.0,2,02:54:36
56.0,2,02:54:37
56.0,2,02:54:38
56.0,2,02:54:39
56.0,2,02:54:40
56.0,2,02:54:41
57.0,2,02:54:42
57.0,2,02:54:43
57.0,2,02:54:44
56.0,2,02:54:51
55.0,2,02:54:52
55.0,2,02:54:53
55.0,2,02:54:54
55.0,2,02:54:55
55.0,2,02:54:56
55.0,2,02:54:57
55.0,2,02:54:58
55.0,2,02:54:59
55.0,2,02:55:00
55.0,2,02:55:01
56.0,2,02:55:02
56.0,2,02:55:03
55.0,2,02:55:04
56.0,2,02:55:05
56.0,2,02:55:06
57.0,2,02:55:07
59.0,2,02:55:08
59.0,2,02:55:09
58.0,2,02:55:10
