HR,day,time
68.0,2,00:57:00
68.0,2,00:57:01
68.0,2,00:57:02
67.0,2,00:57:03
67.0,2,00:57:04
67.0,2,00:57:05
66.0,2,00:57:06
66.0,2,00:57:07
66.0,2,00:57:08
65.0,2,00:57:09
65.0,2,00:57:10
61.0,2,00:57:11
60.0,2,00:57:12
57.0,2,00:57:13
57.0,2,00:57:14
57.0,2,00:57:15
54.0,2,00:57:16
55.0,2,00:57:17
55.0,2,00:57:18
52.0,2,00:57:19
52.0,2,00:57:20
52.0,2,00:57:21
50.0,2,00:57:22
51.0,2,00:57:29
51.0,2,00:57:30
51.0,2,00:57:31
51.0,2,00:57:32
51.0,2,00:57:33
51.0,2,00:57:34
51.0,2,00:57:35
51.0,2,00:57:36
52.0,2,00:57:37
52.0,2,00:57:38
52.0,2,00:57:39
52.0,2,00:57:40
53.0,2,00:57:41
53.0,2,00:57:42
53.0,2,00:57:43
53.0,2,00:57:44
52.0,2,00:57:45
52.0,2,00:57:46
52.0,2,00:57:47
52.0,2,00:57:48
52.0,2,00:57:49
51.0,2,00:57:50
52.0,2,00:57:51
52.0,2,00:57:52
52.0,2,00:57:53
52.0,2,00:57:54
52.0,2,00:57:55
54.0,2,00:58:02
54.0,2,00:58:03
54.0,2,00:58:04
54.0,2,00:58:05
54.0,2,00:58:06
54.0,2,00:58:07
55.0,2,00:58:08
54.0,2,00:58:09
54.0,2,00:58:10
54.0,2,00:58:11
54.0,2,00:58:12
54.0,2,00:58:13
54.0,2,00:58:14
54.0,2,00:58:15
54.0,2,00:58:16
54.0,2,00:58:17
54.0,2,00:58:18
54.0,2,00:58:19
54.0,2,00:58:20
54.0,2,00:58:21
55.0,2,00:58:22
55.0,2,00:58:23
55.0,2,00:58:24
56.0,2,00:58:25
56.0,2,00:58:26
56.0,2,00:58:27
57.0,2,00:58:28
57.0,2,00:58:35
57.0,2,00:58:36
57.0,2,00:58:37
57.0,2,00:58:38
57.0,2,00:58:39
57.0,2,00:58:40
57.0,2,00:58:41
57.0,2,00:58:42
56.0,2,00:58:43
56.0,2,00:58:44
56.0,2,00:58:45
56.0,2,00:58:46
57.0,2,00:58:47
57.0,2,00:58:48
57.0,2,00:58:49
57.0,2,00:58:50
57.0,2,00:58:51
57.0,2,00:58:52
57.0,2,00:58:53
57.0,2,00:58:54
57.0,2,00:58:55
57.0,2,00:58:56
57.0,2,00:58:57
57.0,2,00:58:58
57.0,2,00:58:59
57.0,2,00:59:00
56.0,2,00:59:01
56.0,2,00:59:08
56.0,2,00:59:09
56.0,2,00:59:10
56.0,2,00:59:11
56.0,2,00:59:12
56.0,2,00:59:13
57.0,2,00:59:14
57.0,2,00:59:15
57.0,2,00:59:16
57.0,2,00:59:17
57.0,2,00:59:18
57.0,2,00:59:19
57.0,2,00:59:20
57.0,2,00:59:21
