HR,day,time
88.0,-29,00:30:00
89.0,-29,00:30:01
91.0,-29,00:30:02
91.0,-29,00:30:03
91.0,-29,00:30:04
90.0,-29,00:30:05
89.0,-29,00:30:06
88.0,-29,00:30:07
87.0,-29,00:30:08
87.0,-29,00:30:09
88.0,-29,00:30:10
88.0,-29,00:30:11
88.0,-29,00:30:12
86.0,-29,00:30:13
85.0,-29,00:30:14
85.0,-29,00:30:15
82.0,-29,00:30:16
81.0,-29,00:30:17
81.0,-29,00:30:18
80.0,-29,00:30:19
79.0,-29,00:30:20
79.0,-29,00:30:21
79.0,-29,00:30:22
79.0,-29,00:30:23
76.0,-29,00:30:30
76.0,-29,00:30:31
76.0,-29,00:30:32
76.0,-29,00:30:33
76.0,-29,00:30:34
75.0,-29,00:30:35
75.0,-29,00:30:36
74.0,-29,00:30:37
74.0,-29,00:30:38
74.0,-29,00:30:39
74.0,-29,00:30:40
74.0,-29,00:30:41
74.0,-29,00:30:42
74.0,-29,00:30:43
73.0,-29,00:30:44
73.0,-29,00:30:45
72.0,-29,00:30:46
72.0,-29,00:30:47
72.0,-29,00:30:48
73.0,-29,00:30:49
73.0,-29,00:30:50
73.0,-29,00:30:51
72.0,-29,00:30:52
70.0,-29,00:30:53
70.0,-29,00:30:54
69.0,-29,00:30:55
68.0,-29,00:30:56
67.0,-29,00:31:03
67.0,-29,00:31:04
66.0,-29,00:31:05
67.0,-29,00:31:06
67.0,-29,00:31:07
66.0,-29,00:31:08
66.0,-29,00:31:09
67.0,-29,00:31:10
66.0,-29,00:31:11
66.0,-29,00:31:12
67.0,-29,00:31:13
67.0,-29,00:31:14
67.0,-29,00:31:15
68.0,-29,00:31:16
68.0,-29,00:31:17
67.0,-29,00:31:18
68.0,-29,00:31:19
68.0,-29,00:31:20
67.0,-29,00:31:21
68.0,-29,00:31:22
68.0,-29,00:31:23
68.0,-29,00:31:24
68.0,-29,00:31:25
68.0,-29,00:31:26
67.0,-29,00:31:27
67.0,-29,00:31:28
66.0,-29,00:31:29
66.0,-29,00:31:36
66.0,-29,00:31:37
65.0,-29,00:31:38
65.0,-29,00:31:39
65.0,-29,00:31:40
66.0,-29,00:31:41
66.0,-29,00:31:42
66.0,-29,00:31:43
66.0,-29,00:31:44
66.0,-29,00:31:45
66.0,-29,00:31:46
66.0,-29,00:31:47
66.0,-29,00:31:48
66.0,-29,00:31:49
67.0,-29,00:31:50
66.0,-29,00:31:51
66.0,-29,00:31:52
66.0,-29,00:31:53
65.0,-29,00:31:54
65.0,-29,00:31:55
65.0,-29,00:31:56
65.0,-29,00:31:57
65.0,-29,00:31:58
65.0,-29,00:31:59
64.0,-29,00:32:00
64.0,-29,00:32:01
64.0,-29,00:32:02
63.0,-29,00:32:09
63.0,-29,00:32:10
64.0,-29,00:32:11
64.0,-29,00:32:12
64.0,-29,00:32:13
64.0,-29,00:32:14
64.0,-29,00:32:15
64.0,-29,00:32:16
65.0,-29,00:32:17
65.0,-29,00:32:18
65.0,-29,00:32:19
65.0,-29,00:32:20
65.0,-29,00:32:21
65.0,-29,00:32:22
65.0,-29,00:32:23
65.0,-29,00:32:24
65.0,-29,00:32:25
65.0,-29,00:32:26
65.0,-29,00:32:27
65.0,-29,00:32:28
64.0,-29,00:32:29
65.0,-29,00:32:30
65.0,-29,00:32:31
65.0,-29,00:32:32
65.0,-29,00:32:33
65.0,-29,00:32:34
65.0,-29,00:32:35
65.0,-29,00:32:42
65.0,-29,00:32:43
65.0,-29,00:32:44
65.0,-29,00:32:45
66.0,-29,00:32:46
67.0,-29,00:32:47
67.0,-29,00:32:48
68.0,-29,00:32:49
69.0,-29,00:32:50
70.0,-29,00:32:51
73.0,-29,00:32:52
72.0,-29,00:32:53
70.0,-29,00:32:54
70.0,-29,00:32:55
70.0,-29,00:32:56
69.0,-29,00:32:57
69.0,-29,00:32:58
69.0,-29,00:32:59
69.0,-29,00:33:00
68.0,-29,00:33:01
68.0,-29,00:33:02
68.0,-29,00:33:03
67.0,-29,00:33:04
67.0,-29,00:33:05
67.0,-29,00:33:06
67.0,-29,00:33:07
67.0,-29,00:33:08
67.0,-29,00:33:15
67.0,-29,00:33:16
67.0,-29,00:33:17
66.0,-29,00:33:18
66.0,-29,00:33:19
65.0,-29,00:33:20
65.0,-29,00:33:21
64.0,-29,00:33:22
64.0,-29,00:33:23
64.0,-29,00:33:24
64.0,-29,00:33:25
64.0,-29,00:33:26
64.0,-29,00:33:27
63.0,-29,00:33:28
63.0,-29,00:33:29
63.0,-29,00:33:30
63.0,-29,00:33:31
64.0,-29,00:33:32
64.0,-29,00:33:33
64.0,-29,00:33:34
64.0,-29,00:33:35
64.0,-29,00:33:36
63.0,-29,00:33:37
63.0,-29,00:33:38
63.0,-29,00:33:39
63.0,-29,00:33:40
62.0,-29,00:33:41
63.0,-29,00:33:48
63.0,-29,00:33:49
63.0,-29,00:33:50
62.0,-29,00:33:51
62.0,-29,00:33:52
63.0,-29,00:33:53
62.0,-29,00:33:54
62.0,-29,00:33:55
63.0,-29,00:33:56
63.0,-29,00:33:57
62.0,-29,00:33:58
63.0,-29,00:33:59
63.0,-29,00:34:00
62.0,-29,00:34:01
62.0,-29,00:34:02
63.0,-29,00:34:03
63.0,-29,00:34:04
62.0,-29,00:34:05
62.0,-29,00:34:06
63.0,-29,00:34:07
62.0,-29,00:34:08
63.0,-29,00:34:09
63.0,-29,00:34:10
62.0,-29,00:34:11
62.0,-29,00:34:12
62.0,-29,00:34:13
62.0,-29,00:34:14
63.0,-29,00:34:21
63.0,-29,00:34:22
63.0,-29,00:34:23
63.0,-29,00:34:24
63.0,-29,00:34:25
62.0,-29,00:34:26
62.0,-29,00:34:27
63.0,-29,00:34:28
63.0,-29,00:34:29
63.0,-29,00:34:30
63.0,-29,00:34:31
63.0,-29,00:34:32
63.0,-29,00:34:33
63.0,-29,00:34:34
63.0,-29,00:34:35
63.0,-29,00:34:36
63.0,-29,00:34:37
63.0,-29,00:34:38
63.0,-29,00:34:39
62.0,-29,00:34:40
62.0,-29,00:34:41
62.0,-29,00:34:42
62.0,-29,00:34:43
62.0,-29,00:34:44
62.0,-29,00:34:45
63.0,-29,00:34:46
64.0,-29,00:34:47
63.0,-29,00:34:54
63.0,-29,00:34:55
63.0,-29,00:34:56
62.0,-29,00:34:57
62.0,-29,00:34:58
62.0,-29,00:34:59
62.0,-29,00:35:00
62.0,-29,00:35:01
62.0,-29,00:35:02
63.0,-29,00:35:03
64.0,-29,00:35:04
64.0,-29,00:35:05
65.0,-29,00:35:06
65.0,-29,00:35:07
65.0,-29,00:35:08
64.0,-29,00:35:09
64.0,-29,00:35:10
64.0,-29,00:35:11
64.0,-29,00:35:12
64.0,-29,00:35:13
64.0,-29,00:35:14
64.0,-29,00:35:15
64.0,-29,00:35:16
63.0,-29,00:35:17
64.0,-29,00:35:18
64.0,-29,00:35:19
63.0,-29,00:35:20
63.0,-29,00:35:27
63.0,-29,00:35:28
64.0,-29,00:35:29
64.0,-29,00:35:30
65.0,-29,00:35:31
67.0,-29,00:35:32
68.0,-29,00:35:33
69.0,-29,00:35:34
69.0,-29,00:35:35
70.0,-29,00:35:36
71.0,-29,00:35:37
72.0,-29,00:35:38
73.0,-29,00:35:39
76.0,-29,00:35:40
77.0,-29,00:35:41
81.0,-29,00:35:42
82.0,-29,00:35:43
85.0,-29,00:35:44
87.0,-29,00:35:45
88.0,-29,00:35:46
88.0,-29,00:35:47
88.0,-29,00:35:48
87.0,-29,00:35:49
86.0,-29,00:35:50
83.0,-29,00:35:51
82.0,-29,00:35:52
80.0,-29,00:35:53
72.0,-29,00:36:00
71.0,-29,00:36:01
70.0,-29,00:36:02
70.0,-29,00:36:03
71.0,-29,00:36:04
71.0,-29,00:36:05
71.0,-29,00:36:06
71.0,-29,00:36:07
71.0,-29,00:36:08
70.0,-29,00:36:09
70.0,-29,00:36:10
69.0,-29,00:36:11
69.0,-29,00:36:12
68.0,-29,00:36:13
68.0,-29,00:36:14
68.0,-29,00:36:15
68.0,-29,00:36:16
68.0,-29,00:36:17
68.0,-29,00:36:18
68.0,-29,00:36:19
68.0,-29,00:36:20
68.0,-29,00:36:21
68.0,-29,00:36:22
69.0,-29,00:36:23
69.0,-29,00:36:24
69.0,-29,00:36:25
69.0,-29,00:36:26
67.0,-29,00:36:33
67.0,-29,00:36:34
67.0,-29,00:36:35
67.0,-29,00:36:36
67.0,-29,00:36:37
68.0,-29,00:36:38
68.0,-29,00:36:39
67.0,-29,00:36:40
67.0,-29,00:36:41
67.0,-29,00:36:42
67.0,-29,00:36:43
68.0,-29,00:36:44
68.0,-29,00:36:45
68.0,-29,00:36:46
68.0,-29,00:36:47
68.0,-29,00:36:48
69.0,-29,00:36:49
69.0,-29,00:36:50
69.0,-29,00:36:51
69.0,-29,00:36:52
69.0,-29,00:36:53
68.0,-29,00:36:54
68.0,-29,00:36:55
68.0,-29,00:36:56
68.0,-29,00:36:57
68.0,-29,00:36:58
68.0,-29,00:36:59
67.0,-29,00:37:06
68.0,-29,00:37:07
68.0,-29,00:37:08
68.0,-29,00:37:09
68.0,-29,00:37:10
68.0,-29,00:37:11
68.0,-29,00:37:12
68.0,-29,00:37:13
68.0,-29,00:37:14
68.0,-29,00:37:15
68.0,-29,00:37:16
68.0,-29,00:37:17
68.0,-29,00:37:18
68.0,-29,00:37:19
68.0,-29,00:37:20
69.0,-29,00:37:21
69.0,-29,00:37:22
69.0,-29,00:37:23
68.0,-29,00:37:24
69.0,-29,00:37:25
70.0,-29,00:37:26
69.0,-29,00:37:27
69.0,-29,00:37:28
69.0,-29,00:37:29
69.0,-29,00:37:30
69.0,-29,00:37:31
68.0,-29,00:37:32
69.0,-29,00:37:39
69.0,-29,00:37:40
69.0,-29,00:37:41
69.0,-29,00:37:42
68.0,-29,00:37:43
69.0,-29,00:37:44
69.0,-29,00:37:45
68.0,-29,00:37:46
68.0,-29,00:37:47
68.0,-29,00:37:48
68.0,-29,00:37:49
68.0,-29,00:37:50
68.0,-29,00:37:51
69.0,-29,00:37:52
69.0,-29,00:37:53
68.0,-29,00:37:54
69.0,-29,00:37:55
68.0,-29,00:37:56
68.0,-29,00:37:57
68.0,-29,00:37:58
68.0,-29,00:37:59
68.0,-29,00:38:00
68.0,-29,00:38:01
68.0,-29,00:38:02
68.0,-29,00:38:03
68.0,-29,00:38:04
68.0,-29,00:38:05
71.0,-29,00:38:12
74.0,-29,00:38:13
75.0,-29,00:38:14
76.0,-29,00:38:15
78.0,-29,00:38:16
79.0,-29,00:38:17
81.0,-29,00:38:18
81.0,-29,00:38:19
82.0,-29,00:38:20
82.0,-29,00:38:21
82.0,-29,00:38:22
82.0,-29,00:38:23
82.0,-29,00:38:24
82.0,-29,00:38:25
80.0,-29,00:38:26
80.0,-29,00:38:27
79.0,-29,00:38:28
78.0,-29,00:38:29
77.0,-29,00:38:30
76.0,-29,00:38:31
76.0,-29,00:38:32
75.0,-29,00:38:33
75.0,-29,00:38:34
74.0,-29,00:38:35
73.0,-29,00:38:36
73.0,-29,00:38:37
73.0,-29,00:38:38
73.0,-29,00:38:45
73.0,-29,00:38:46
72.0,-29,00:38:47
72.0,-29,00:38:48
71.0,-29,00:38:49
71.0,-29,00:38:50
71.0,-29,00:38:51
70.0,-29,00:38:52
70.0,-29,00:38:53
70.0,-29,00:38:54
69.0,-29,00:38:55
69.0,-29,00:38:56
69.0,-29,00:38:57
69.0,-29,00:38:58
69.0,-29,00:38:59
69.0,-29,00:39:00
69.0,-29,00:39:01
69.0,-29,00:39:02
69.0,-29,00:39:03
69.0,-29,00:39:04
69.0,-29,00:39:05
68.0,-29,00:39:06
68.0,-29,00:39:07
68.0,-29,00:39:08
68.0,-29,00:39:09
68.0,-29,00:39:10
68.0,-29,00:39:11
68.0,-29,00:39:18
68.0,-29,00:39:19
68.0,-29,00:39:20
69.0,-29,00:39:21
69.0,-29,00:39:22
68.0,-29,00:39:23
68.0,-29,00:39:24
68.0,-29,00:39:25
68.0,-29,00:39:26
68.0,-29,00:39:27
68.0,-29,00:39:28
68.0,-29,00:39:29
68.0,-29,00:39:30
68.0,-29,00:39:31
67.0,-29,00:39:32
67.0,-29,00:39:33
67.0,-29,00:39:34
67.0,-29,00:39:35
67.0,-29,00:39:36
67.0,-29,00:39:37
67.0,-29,00:39:38
67.0,-29,00:39:39
67.0,-29,00:39:40
67.0,-29,00:39:41
67.0,-29,00:39:42
67.0,-29,00:39:43
67.0,-29,00:39:44
67.0,-29,00:39:51
67.0,-29,00:39:52
67.0,-29,00:39:53
67.0,-29,00:39:54
66.0,-29,00:39:55
66.0,-29,00:39:56
66.0,-29,00:39:57
66.0,-29,00:39:58
67.0,-29,00:39:59
67.0,-29,00:40:00
66.0,-29,00:40:01
66.0,-29,00:40:02
66.0,-29,00:40:03
66.0,-29,00:40:04
66.0,-29,00:40:05
66.0,-29,00:40:06
66.0,-29,00:40:07
65.0,-29,00:40:08
65.0,-29,00:40:09
65.0,-29,00:40:10
65.0,-29,00:40:11
65.0,-29,00:40:12
65.0,-29,00:40:13
66.0,-29,00:40:14
66.0,-29,00:40:15
66.0,-29,00:40:16
66.0,-29,00:40:17
65.0,-29,00:40:24
65.0,-29,00:40:25
65.0,-29,00:40:26
65.0,-29,00:40:27
65.0,-29,00:40:28
65.0,-29,00:40:29
65.0,-29,00:40:30
65.0,-29,00:40:31
65.0,-29,00:40:32
65.0,-29,00:40:33
65.0,-29,00:40:34
65.0,-29,00:40:35
65.0,-29,00:40:36
65.0,-29,00:40:37
65.0,-29,00:40:38
65.0,-29,00:40:39
65.0,-29,00:40:40
64.0,-29,00:40:41
65.0,-29,00:40:42
65.0,-29,00:40:43
65.0,-29,00:40:44
65.0,-29,00:40:45
65.0,-29,00:40:46
65.0,-29,00:40:47
66.0,-29,00:40:48
65.0,-29,00:40:49
66.0,-29,00:40:50
66.0,-29,00:40:57
67.0,-29,00:40:58
67.0,-29,00:40:59
67.0,-29,00:41:00
67.0,-29,00:41:01
67.0,-29,00:41:02
67.0,-29,00:41:03
67.0,-29,00:41:04
67.0,-29,00:41:05
67.0,-29,00:41:06
67.0,-29,00:41:07
67.0,-29,00:41:08
67.0,-29,00:41:09
67.0,-29,00:41:10
67.0,-29,00:41:11
67.0,-29,00:41:12
67.0,-29,00:41:13
67.0,-29,00:41:14
66.0,-29,00:41:15
66.0,-29,00:41:16
65.0,-29,00:41:17
66.0,-29,00:41:18
65.0,-29,00:41:19
65.0,-29,00:41:20
65.0,-29,00:41:21
65.0,-29,00:41:22
65.0,-29,00:41:23
65.0,-29,00:41:30
66.0,-29,00:41:31
66.0,-29,00:41:32
66.0,-29,00:41:33
65.0,-29,00:41:34
65.0,-29,00:41:35
66.0,-29,00:41:36
65.0,-29,00:41:37
65.0,-29,00:41:38
65.0,-29,00:41:39
65.0,-29,00:41:40
65.0,-29,00:41:41
66.0,-29,00:41:42
66.0,-29,00:41:43
66.0,-29,00:41:44
66.0,-29,00:41:45
66.0,-29,00:41:46
66.0,-29,00:41:47
65.0,-29,00:41:48
65.0,-29,00:41:49
65.0,-29,00:41:50
64.0,-29,00:41:51
65.0,-29,00:41:52
65.0,-29,00:41:53
64.0,-29,00:41:54
65.0,-29,00:41:55
65.0,-29,00:41:56
66.0,-29,00:42:03
66.0,-29,00:42:04
66.0,-29,00:42:05
67.0,-29,00:42:06
67.0,-29,00:42:07
66.0,-29,00:42:08
66.0,-29,00:42:09
66.0,-29,00:42:10
66.0,-29,00:42:11
66.0,-29,00:42:12
66.0,-29,00:42:13
66.0,-29,00:42:14
66.0,-29,00:42:15
66.0,-29,00:42:16
66.0,-29,00:42:17
66.0,-29,00:42:18
65.0,-29,00:42:19
65.0,-29,00:42:20
65.0,-29,00:42:21
65.0,-29,00:42:22
65.0,-29,00:42:23
65.0,-29,00:42:24
65.0,-29,00:42:25
65.0,-29,00:42:26
65.0,-29,00:42:27
65.0,-29,00:42:28
65.0,-29,00:42:29
65.0,-29,00:42:36
66.0,-29,00:42:37
66.0,-29,00:42:38
66.0,-29,00:42:39
66.0,-29,00:42:40
67.0,-29,00:42:41
67.0,-29,00:42:42
67.0,-29,00:42:43
68.0,-29,00:42:44
68.0,-29,00:42:45
67.0,-29,00:42:46
67.0,-29,00:42:47
67.0,-29,00:42:48
67.0,-29,00:42:49
66.0,-29,00:42:50
66.0,-29,00:42:51
66.0,-29,00:42:52
65.0,-29,00:42:53
66.0,-29,00:42:54
66.0,-29,00:42:55
66.0,-29,00:42:56
65.0,-29,00:42:57
65.0,-29,00:42:58
65.0,-29,00:42:59
65.0,-29,00:43:00
65.0,-29,00:43:01
65.0,-29,00:43:02
65.0,-29,00:43:09
65.0,-29,00:43:10
65.0,-29,00:43:11
65.0,-29,00:43:12
65.0,-29,00:43:13
65.0,-29,00:43:14
65.0,-29,00:43:15
65.0,-29,00:43:16
65.0,-29,00:43:17
65.0,-29,00:43:18
66.0,-29,00:43:19
67.0,-29,00:43:20
68.0,-29,00:43:21
70.0,-29,00:43:22
71.0,-29,00:43:23
72.0,-29,00:43:24
74.0,-29,00:43:25
75.0,-29,00:43:26
78.0,-29,00:43:27
79.0,-29,00:43:28
80.0,-29,00:43:29
81.0,-29,00:43:30
82.0,-29,00:43:31
83.0,-29,00:43:32
83.0,-29,00:43:33
85.0,-29,00:43:34
85.0,-29,00:43:35
83.0,-29,00:43:42
82.0,-29,00:43:43
81.0,-29,00:43:44
80.0,-29,00:43:45
79.0,-29,00:43:46
78.0,-29,00:43:47
79.0,-29,00:43:48
78.0,-29,00:43:49
76.0,-29,00:43:50
75.0,-29,00:43:51
73.0,-29,00:43:52
73.0,-29,00:43:53
72.0,-29,00:43:54
71.0,-29,00:43:55
71.0,-29,00:43:56
70.0,-29,00:43:57
70.0,-29,00:43:58
69.0,-29,00:43:59
68.0,-29,00:44:00
67.0,-29,00:44:01
67.0,-29,00:44:02
67.0,-29,00:44:03
67.0,-29,00:44:04
66.0,-29,00:44:05
66.0,-29,00:44:06
66.0,-29,00:44:07
65.0,-29,00:44:08
65.0,-29,00:44:15
65.0,-29,00:44:16
65.0,-29,00:44:17
65.0,-29,00:44:18
65.0,-29,00:44:19
65.0,-29,00:44:20
65.0,-29,00:44:21
65.0,-29,00:44:22
65.0,-29,00:44:23
65.0,-29,00:44:24
65.0,-29,00:44:25
66.0,-29,00:44:26
66.0,-29,00:44:27
66.0,-29,00:44:28
66.0,-29,00:44:29
66.0,-29,00:44:30
66.0,-29,00:44:31
65.0,-29,00:44:32
65.0,-29,00:44:33
65.0,-29,00:44:34
65.0,-29,00:44:35
65.0,-29,00:44:36
65.0,-29,00:44:37
65.0,-29,00:44:38
65.0,-29,00:44:39
65.0,-29,00:44:40
64.0,-29,00:44:41
64.0,-29,00:44:48
63.0,-29,00:44:49
64.0,-29,00:44:50
64.0,-29,00:44:51
65.0,-29,00:44:52
65.0,-29,00:44:53
65.0,-29,00:44:54
64.0,-29,00:44:55
64.0,-29,00:44:56
63.0,-29,00:44:57
64.0,-29,00:44:58
64.0,-29,00:44:59
63.0,-29,00:45:00
63.0,-29,00:45:01
64.0,-29,00:45:02
64.0,-29,00:45:03
64.0,-29,00:45:04
64.0,-29,00:45:05
64.0,-29,00:45:06
64.0,-29,00:45:07
63.0,-29,00:45:08
64.0,-29,00:45:09
64.0,-29,00:45:10
64.0,-29,00:45:11
63.0,-29,00:45:12
64.0,-29,00:45:13
64.0,-29,00:45:14
63.0,-29,00:45:21
64.0,-29,00:45:22
65.0,-29,00:45:23
65.0,-29,00:45:24
65.0,-29,00:45:25
65.0,-29,00:45:26
64.0,-29,00:45:27
64.0,-29,00:45:28
64.0,-29,00:45:29
64.0,-29,00:45:30
64.0,-29,00:45:31
63.0,-29,00:45:32
63.0,-29,00:45:33
63.0,-29,00:45:34
64.0,-29,00:45:35
63.0,-29,00:45:36
63.0,-29,00:45:37
63.0,-29,00:45:38
64.0,-29,00:45:39
63.0,-29,00:45:40
63.0,-29,00:45:41
63.0,-29,00:45:42
64.0,-29,00:45:43
64.0,-29,00:45:44
64.0,-29,00:45:45
64.0,-29,00:45:46
64.0,-29,00:45:47
63.0,-29,00:45:54
63.0,-29,00:45:55
63.0,-29,00:45:56
63.0,-29,00:45:57
63.0,-29,00:45:58
63.0,-29,00:45:59
63.0,-29,00:46:00
63.0,-29,00:46:01
63.0,-29,00:46:02
64.0,-29,00:46:03
64.0,-29,00:46:04
64.0,-29,00:46:05
64.0,-29,00:46:06
64.0,-29,00:46:07
64.0,-29,00:46:08
64.0,-29,00:46:09
64.0,-29,00:46:10
64.0,-29,00:46:11
65.0,-29,00:46:12
65.0,-29,00:46:13
66.0,-29,00:46:14
67.0,-29,00:46:15
68.0,-29,00:46:16
70.0,-29,00:46:17
71.0,-29,00:46:18
71.0,-29,00:46:19
71.0,-29,00:46:20
74.0,-29,00:46:27
74.0,-29,00:46:28
75.0,-29,00:46:29
75.0,-29,00:46:30
75.0,-29,00:46:31
75.0,-29,00:46:32
73.0,-29,00:46:33
73.0,-29,00:46:34
72.0,-29,00:46:35
72.0,-29,00:46:36
72.0,-29,00:46:37
72.0,-29,00:46:38
73.0,-29,00:46:39
73.0,-29,00:46:40
73.0,-29,00:46:41
73.0,-29,00:46:42
74.0,-29,00:46:43
75.0,-29,00:46:44
77.0,-29,00:46:45
77.0,-29,00:46:46
77.0,-29,00:46:47
77.0,-29,00:46:48
